region_id,dbms,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source
postgres_target_000001,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2506,2498,2509,,function
postgres_target_000002,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2507,2502,2512,,window
postgres_target_000003,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2516,2511,2521,,window
postgres_target_000004,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2533,2526,2534,,function
postgres_target_000005,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2541,2536,2546,,window
postgres_target_000006,postgres,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,3671,3666,3676,,window
postgres_target_000007,postgres,stale,storage,expandedrecord.c,src/backend/utils/adt/expandedrecord.c,expandedrecord.c,102,80,103,,function
postgres_target_000008,postgres,stale,storage,expandedrecord.c,src/backend/utils/adt/expandedrecord.c,expandedrecord.c,234,215,235,,function
postgres_target_000009,postgres,stale,other,pl_comp.c,src/pl/plpgsql/src/pl_comp.c,pl_comp.c,2093,2088,2098,,window
postgres_target_000010,postgres,stale,other,pl_comp.c,src/pl/plpgsql/src/pl_comp.c,pl_comp.c,2099,2094,2104,,window
postgres_target_000011,postgres,stale,executor,pl_exec.c,src/pl/plpgsql/src/pl_exec.c,pl_exec.c,7148,7122,7164,make_expanded_record_for_rec,function
postgres_target_000012,postgres,stale,executor,pl_exec.c,src/pl/plpgsql/src/pl_exec.c,pl_exec.c,7197,7192,7202,,window
postgres_target_000013,postgres,stale,other,printtup.c,src/backend/access/common/printtup.c,printtup.c,281,276,281,,function
postgres_target_000014,postgres,stale,other,printtup.c,src/backend/access/common/printtup.c,printtup.c,288,283,288,fmgr_info,function
postgres_target_000015,postgres,stale,other,printtup.c,src/backend/access/common/printtup.c,printtup.c,361,356,362,,function
postgres_target_000016,postgres,stale,other,printtup.c,src/backend/access/common/printtup.c,printtup.c,369,364,372,OutputFunctionCall,function
postgres_target_000017,postgres,stale,type_system,rowtypes.c,src/backend/utils/adt/rowtypes.c,rowtypes.c,362,357,367,,window
postgres_target_000018,postgres,stale,type_system,rowtypes.c,src/backend/utils/adt/rowtypes.c,rowtypes.c,366,361,371,,window
