run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
mariadb_sqlaser_r1,mariadb,1,type_system,SQLaser,2206,725,0.328649138712602,996,527,0.538788522848034
mariadb_sqlaser_r1,mariadb,1,other,SQLaser,1566,811,0.5178799489144317,413,295,0.7146341463414634
mariadb_sqlaser_r1,mariadb,1,storage,SQLaser,4,1,0.25,1,1,1.0
mariadb_sqlaser_r1,mariadb,1,optimizer,SQLaser,170,102,0.6,32,29,0.9
mariadb_sqlaser_r1,mariadb,1,cursor_prepared,SQLaser,214,147,0.6869158878504673,3,1,0.3333333333333333
mariadb_sqlaser_r1,mariadb,1,parser,SQLaser,64,53,0.828125,5,5,1.0
mariadb_sqlaser_r1,mariadb,1,catalog_metadata,SQLaser,56,24,0.42857142857142855,31,14,0.45161290322580644
mariadb_sqlaser_r2,mariadb,2,type_system,SQLaser,2206,725,0.328649138712602,996,508,0.5196599362380446
mariadb_sqlaser_r2,mariadb,2,other,SQLaser,1566,808,0.5159642401021711,413,297,0.7195121951219512
mariadb_sqlaser_r2,mariadb,2,storage,SQLaser,4,1,0.25,1,1,1.0
mariadb_sqlaser_r2,mariadb,2,optimizer,SQLaser,170,93,0.5470588235294118,32,29,0.9
mariadb_sqlaser_r2,mariadb,2,cursor_prepared,SQLaser,214,147,0.6869158878504673,3,1,0.3333333333333333
mariadb_sqlaser_r2,mariadb,2,parser,SQLaser,64,50,0.78125,5,5,1.0
mariadb_sqlaser_r2,mariadb,2,catalog_metadata,SQLaser,56,27,0.48214285714285715,31,14,0.45161290322580644
mariadb_sqlaser_r3,mariadb,3,type_system,SQLaser,2206,688,0.3118766999093382,996,483,0.4952178533475027
mariadb_sqlaser_r3,mariadb,3,other,SQLaser,1566,749,0.4782886334610473,413,288,0.697560975609756
mariadb_sqlaser_r3,mariadb,3,storage,SQLaser,4,1,0.25,1,1,1.0
mariadb_sqlaser_r3,mariadb,3,optimizer,SQLaser,170,91,0.5352941176470588,32,28,0.8666666666666667
mariadb_sqlaser_r3,mariadb,3,cursor_prepared,SQLaser,214,142,0.6635514018691588,3,1,0.3333333333333333
mariadb_sqlaser_r3,mariadb,3,parser,SQLaser,64,47,0.734375,5,5,1.0
mariadb_sqlaser_r3,mariadb,3,catalog_metadata,SQLaser,56,25,0.44642857142857145,31,14,0.45161290322580644
mariadb_sqlaser_r4,mariadb,4,type_system,SQLaser,2206,633,0.2869446962828649,996,448,0.45589798087141337
mariadb_sqlaser_r4,mariadb,4,other,SQLaser,1566,703,0.44891443167305234,413,285,0.6902439024390243
mariadb_sqlaser_r4,mariadb,4,storage,SQLaser,4,1,0.25,1,1,1.0
mariadb_sqlaser_r4,mariadb,4,optimizer,SQLaser,170,92,0.5411764705882353,32,29,0.9
mariadb_sqlaser_r4,mariadb,4,cursor_prepared,SQLaser,214,133,0.6214953271028038,3,1,0.3333333333333333
mariadb_sqlaser_r4,mariadb,4,parser,SQLaser,64,48,0.75,5,5,1.0
mariadb_sqlaser_r4,mariadb,4,catalog_metadata,SQLaser,56,22,0.39285714285714285,31,14,0.45161290322580644
mariadb_sqlaser_r5,mariadb,5,type_system,SQLaser,2206,594,0.2692656391659112,996,434,0.4452709883103082
mariadb_sqlaser_r5,mariadb,5,other,SQLaser,1566,694,0.44316730523627074,413,274,0.6634146341463415
mariadb_sqlaser_r5,mariadb,5,storage,SQLaser,4,1,0.25,1,1,1.0
mariadb_sqlaser_r5,mariadb,5,optimizer,SQLaser,170,88,0.5176470588235295,32,28,0.8666666666666667
mariadb_sqlaser_r5,mariadb,5,cursor_prepared,SQLaser,214,139,0.6495327102803738,3,1,0.3333333333333333
mariadb_sqlaser_r5,mariadb,5,parser,SQLaser,64,49,0.765625,5,5,1.0
mariadb_sqlaser_r5,mariadb,5,catalog_metadata,SQLaser,56,21,0.375,31,14,0.45161290322580644
