run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
monetdb_sqlaser_r1,monetdb,1,other,SQLaser,102594,8753,0.08531688012944227,5999,3242,0.5433350228079067
monetdb_sqlaser_r1,monetdb,1,storage,SQLaser,696,91,0.1307471264367816,219,91,0.41743119266055045
monetdb_sqlaser_r1,monetdb,1,type_system,SQLaser,3550,514,0.1447887323943662,166,111,0.7115384615384616
monetdb_sqlaser_r1,monetdb,1,optimizer,SQLaser,9324,3062,0.3283998283998284,1276,788,0.6179245283018868
monetdb_sqlaser_r1,monetdb,1,parser,SQLaser,148,20,0.13513513513513514,4,3,0.75
monetdb_sqlaser_r1,monetdb,1,executor,SQLaser,5128,139,0.027106084243369733,91,36,0.3956043956043956
monetdb_sqlaser_r1,monetdb,1,catalog_metadata,SQLaser,2148,805,0.3747672253258845,271,178,0.6730769230769231
monetdb_sqlaser_r1,monetdb,1,cursor_prepared,SQLaser,216,29,0.13425925925925927,5,1,0.25
monetdb_sqlaser_r2,monetdb,2,other,SQLaser,102594,8753,0.08531688012944227,5999,3244,0.5436729177225883
monetdb_sqlaser_r2,monetdb,2,storage,SQLaser,696,91,0.1307471264367816,219,91,0.41743119266055045
monetdb_sqlaser_r2,monetdb,2,type_system,SQLaser,3550,516,0.14535211267605633,166,111,0.7115384615384616
monetdb_sqlaser_r2,monetdb,2,optimizer,SQLaser,9324,3062,0.3283998283998284,1276,788,0.6179245283018868
monetdb_sqlaser_r2,monetdb,2,parser,SQLaser,148,20,0.13513513513513514,4,3,0.75
monetdb_sqlaser_r2,monetdb,2,executor,SQLaser,5128,141,0.02749609984399376,91,36,0.3956043956043956
monetdb_sqlaser_r2,monetdb,2,catalog_metadata,SQLaser,2148,805,0.3747672253258845,271,178,0.6730769230769231
monetdb_sqlaser_r2,monetdb,2,cursor_prepared,SQLaser,216,29,0.13425925925925927,5,1,0.25
monetdb_sqlaser_r3,monetdb,3,other,SQLaser,102594,8741,0.0851999142250034,5999,3242,0.5433350228079067
monetdb_sqlaser_r3,monetdb,3,storage,SQLaser,696,91,0.1307471264367816,219,91,0.41743119266055045
monetdb_sqlaser_r3,monetdb,3,type_system,SQLaser,3550,514,0.1447887323943662,166,111,0.7115384615384616
monetdb_sqlaser_r3,monetdb,3,optimizer,SQLaser,9324,3062,0.3283998283998284,1276,788,0.6179245283018868
monetdb_sqlaser_r3,monetdb,3,parser,SQLaser,148,20,0.13513513513513514,4,3,0.75
monetdb_sqlaser_r3,monetdb,3,executor,SQLaser,5128,141,0.02749609984399376,91,36,0.3956043956043956
monetdb_sqlaser_r3,monetdb,3,catalog_metadata,SQLaser,2148,805,0.3747672253258845,271,178,0.6730769230769231
monetdb_sqlaser_r3,monetdb,3,cursor_prepared,SQLaser,216,29,0.13425925925925927,5,1,0.25
monetdb_sqlaser_r4,monetdb,4,other,SQLaser,102594,8764,0.08542409887517789,5999,3246,0.5440108126372698
monetdb_sqlaser_r4,monetdb,4,storage,SQLaser,696,91,0.1307471264367816,219,91,0.41743119266055045
monetdb_sqlaser_r4,monetdb,4,type_system,SQLaser,3550,515,0.14507042253521127,166,111,0.7115384615384616
monetdb_sqlaser_r4,monetdb,4,optimizer,SQLaser,9324,3062,0.3283998283998284,1276,788,0.6179245283018868
monetdb_sqlaser_r4,monetdb,4,parser,SQLaser,148,20,0.13513513513513514,4,3,0.75
monetdb_sqlaser_r4,monetdb,4,executor,SQLaser,5128,140,0.027301092043681748,91,36,0.3956043956043956
monetdb_sqlaser_r4,monetdb,4,catalog_metadata,SQLaser,2148,811,0.37756052141527,271,178,0.6730769230769231
monetdb_sqlaser_r4,monetdb,4,cursor_prepared,SQLaser,216,29,0.13425925925925927,5,1,0.25
monetdb_sqlaser_r5,monetdb,5,other,SQLaser,102594,8754,0.08532662728814551,5999,3242,0.5433350228079067
monetdb_sqlaser_r5,monetdb,5,storage,SQLaser,696,91,0.1307471264367816,219,91,0.41743119266055045
monetdb_sqlaser_r5,monetdb,5,type_system,SQLaser,3550,514,0.1447887323943662,166,111,0.7115384615384616
monetdb_sqlaser_r5,monetdb,5,optimizer,SQLaser,9324,3062,0.3283998283998284,1276,788,0.6179245283018868
monetdb_sqlaser_r5,monetdb,5,parser,SQLaser,148,20,0.13513513513513514,4,3,0.75
monetdb_sqlaser_r5,monetdb,5,executor,SQLaser,5128,140,0.027301092043681748,91,36,0.3956043956043956
monetdb_sqlaser_r5,monetdb,5,catalog_metadata,SQLaser,2148,805,0.3747672253258845,271,178,0.6730769230769231
monetdb_sqlaser_r5,monetdb,5,cursor_prepared,SQLaser,216,29,0.13425925925925927,5,1,0.25
