run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
mysql_sqlaser_r1,mysql,1,other,SQLaser,228,60,0.2631578947368421,58,28,0.4909090909090909
mysql_sqlaser_r1,mysql,1,catalog_metadata,SQLaser,42,9,0.21428571428571427,4,3,0.75
mysql_sqlaser_r1,mysql,1,type_system,SQLaser,3786,1750,0.46222926571579503,846,547,0.6810344827586207
mysql_sqlaser_r1,mysql,1,executor,SQLaser,202,108,0.5346534653465347,7,7,1.0
mysql_sqlaser_r1,mysql,1,parser,SQLaser,18,14,0.7777777777777778,3,3,1.0
mysql_sqlaser_r1,mysql,1,optimizer,SQLaser,46,34,0.7391304347826086,8,8,1.0
mysql_sqlaser_r1,mysql,1,cursor_prepared,SQLaser,290,196,0.6758620689655173,5,4,0.5
mysql_sqlaser_r1,mysql,1,storage,SQLaser,26,5,0.19230769230769232,6,2,0.4
mysql_sqlaser_r3,mysql,3,other,SQLaser,228,60,0.2631578947368421,58,28,0.4909090909090909
mysql_sqlaser_r3,mysql,3,catalog_metadata,SQLaser,42,8,0.19047619047619047,4,3,0.75
mysql_sqlaser_r3,mysql,3,type_system,SQLaser,3786,1843,0.4867934495509773,846,561,0.6875
mysql_sqlaser_r3,mysql,3,executor,SQLaser,202,99,0.4900990099009901,7,7,1.0
mysql_sqlaser_r3,mysql,3,parser,SQLaser,18,14,0.7777777777777778,3,3,1.0
mysql_sqlaser_r3,mysql,3,optimizer,SQLaser,46,35,0.7608695652173914,8,8,1.0
mysql_sqlaser_r3,mysql,3,cursor_prepared,SQLaser,290,192,0.6620689655172414,5,4,0.5
mysql_sqlaser_r3,mysql,3,storage,SQLaser,26,6,0.23076923076923078,6,2,0.4
mysql_sqlaser_r4,mysql,4,other,SQLaser,228,58,0.2543859649122807,58,28,0.4909090909090909
mysql_sqlaser_r4,mysql,4,catalog_metadata,SQLaser,42,9,0.21428571428571427,4,3,0.75
mysql_sqlaser_r4,mysql,4,type_system,SQLaser,3786,1823,0.4815108293713682,846,562,0.6939655172413793
mysql_sqlaser_r4,mysql,4,executor,SQLaser,202,93,0.4603960396039604,7,7,1.0
mysql_sqlaser_r4,mysql,4,parser,SQLaser,18,14,0.7777777777777778,3,3,1.0
mysql_sqlaser_r4,mysql,4,optimizer,SQLaser,46,33,0.717391304347826,8,8,1.0
mysql_sqlaser_r4,mysql,4,cursor_prepared,SQLaser,290,186,0.6413793103448275,5,4,0.5
mysql_sqlaser_r4,mysql,4,storage,SQLaser,26,5,0.19230769230769232,6,2,0.4
mysql_sqlaser_r5,mysql,5,other,SQLaser,228,67,0.29385964912280704,58,30,0.5272727272727272
mysql_sqlaser_r5,mysql,5,catalog_metadata,SQLaser,42,8,0.19047619047619047,4,3,0.75
mysql_sqlaser_r5,mysql,5,type_system,SQLaser,3786,1778,0.46962493396724775,846,543,0.6702586206896551
mysql_sqlaser_r5,mysql,5,executor,SQLaser,202,95,0.47029702970297027,7,7,1.0
mysql_sqlaser_r5,mysql,5,parser,SQLaser,18,14,0.7777777777777778,3,3,1.0
mysql_sqlaser_r5,mysql,5,optimizer,SQLaser,46,33,0.717391304347826,8,8,1.0
mysql_sqlaser_r5,mysql,5,cursor_prepared,SQLaser,290,184,0.6344827586206897,5,4,0.5
mysql_sqlaser_r5,mysql,5,storage,SQLaser,26,8,0.3076923076923077,6,4,0.6
