run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
sqlaser_sqlite354_r1,sqlite,1,executor,SQLaser,1050,649,0.6180952380952381,255,216,0.8490566037735849
sqlaser_sqlite354_r1,sqlite,1,other,SQLaser,764,636,0.8324607329842932,80,79,0.9791666666666666
sqlaser_sqlite354_r1,sqlite,1,storage,SQLaser,500,291,0.582,62,58,0.925
sqlaser_sqlite354_r1,sqlite,1,type_system,SQLaser,54,40,0.7407407407407407,8,8,1.0
sqlaser_sqlite354_r1,sqlite,1,optimizer,SQLaser,434,376,0.8663594470046083,32,32,1.0
sqlaser_sqlite354_r1,sqlite,1,catalog_metadata,SQLaser,6,5,0.8333333333333334,6,6,1.0
sqlaser_sqlite354_r2,sqlite,2,executor,SQLaser,1050,646,0.6152380952380953,255,217,0.8490566037735849
sqlaser_sqlite354_r2,sqlite,2,other,SQLaser,764,626,0.819371727748691,80,79,0.9791666666666666
sqlaser_sqlite354_r2,sqlite,2,storage,SQLaser,500,288,0.576,62,56,0.9
sqlaser_sqlite354_r2,sqlite,2,type_system,SQLaser,54,40,0.7407407407407407,8,8,1.0
sqlaser_sqlite354_r2,sqlite,2,optimizer,SQLaser,434,376,0.8663594470046083,32,32,1.0
sqlaser_sqlite354_r2,sqlite,2,catalog_metadata,SQLaser,6,5,0.8333333333333334,6,6,1.0
sqlaser_sqlite354_r3,sqlite,3,executor,SQLaser,1050,645,0.6142857142857143,255,215,0.8427672955974843
sqlaser_sqlite354_r3,sqlite,3,other,SQLaser,764,628,0.8219895287958116,80,79,0.9791666666666666
sqlaser_sqlite354_r3,sqlite,3,storage,SQLaser,500,297,0.594,62,58,0.925
sqlaser_sqlite354_r3,sqlite,3,type_system,SQLaser,54,40,0.7407407407407407,8,8,1.0
sqlaser_sqlite354_r3,sqlite,3,optimizer,SQLaser,434,371,0.8548387096774194,32,32,1.0
sqlaser_sqlite354_r3,sqlite,3,catalog_metadata,SQLaser,6,5,0.8333333333333334,6,6,1.0
sqlaser_sqlite354_r4,sqlite,4,executor,SQLaser,1050,651,0.62,255,218,0.8553459119496856
sqlaser_sqlite354_r4,sqlite,4,other,SQLaser,764,637,0.8337696335078534,80,79,0.9791666666666666
sqlaser_sqlite354_r4,sqlite,4,storage,SQLaser,500,308,0.616,62,56,0.9
sqlaser_sqlite354_r4,sqlite,4,type_system,SQLaser,54,34,0.6296296296296297,8,8,1.0
sqlaser_sqlite354_r4,sqlite,4,optimizer,SQLaser,434,374,0.8617511520737328,32,32,1.0
sqlaser_sqlite354_r4,sqlite,4,catalog_metadata,SQLaser,6,5,0.8333333333333334,6,6,1.0
sqlaser_sqlite354_r5,sqlite,5,executor,SQLaser,1050,653,0.621904761904762,255,216,0.8490566037735849
sqlaser_sqlite354_r5,sqlite,5,other,SQLaser,764,634,0.8298429319371727,80,79,0.9791666666666666
sqlaser_sqlite354_r5,sqlite,5,storage,SQLaser,500,311,0.622,62,58,0.95
sqlaser_sqlite354_r5,sqlite,5,type_system,SQLaser,54,39,0.7222222222222222,8,8,1.0
sqlaser_sqlite354_r5,sqlite,5,optimizer,SQLaser,434,373,0.8594470046082949,32,32,1.0
sqlaser_sqlite354_r5,sqlite,5,catalog_metadata,SQLaser,6,5,0.8333333333333334,6,6,1.0
