run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
monetdb_sqleek_r1,monetdb,1,other,SQLeek,102594,29176,0.28438310232567204,5999,4925,0.822267274877513
monetdb_sqleek_r1,monetdb,1,storage,SQLeek,696,154,0.22126436781609196,219,127,0.5779816513761468
monetdb_sqleek_r1,monetdb,1,type_system,SQLeek,3550,1492,0.42028169014084504,166,151,0.9294871794871795
monetdb_sqleek_r1,monetdb,1,optimizer,SQLeek,9324,5771,0.618940368940369,1276,1151,0.9025157232704403
monetdb_sqleek_r1,monetdb,1,parser,SQLeek,148,22,0.14864864864864866,4,3,0.75
monetdb_sqleek_r1,monetdb,1,executor,SQLeek,5128,437,0.08521840873634945,91,57,0.6263736263736264
monetdb_sqleek_r1,monetdb,1,catalog_metadata,SQLeek,2148,1407,0.6550279329608939,271,232,0.8538461538461538
monetdb_sqleek_r1,monetdb,1,cursor_prepared,SQLeek,216,126,0.5833333333333334,5,3,0.75
monetdb_sqleek_r2,monetdb,2,other,SQLeek,102594,28997,0.2826383609177925,5999,4940,0.8246325392802838
monetdb_sqleek_r2,monetdb,2,storage,SQLeek,696,154,0.22126436781609196,219,127,0.5779816513761468
monetdb_sqleek_r2,monetdb,2,type_system,SQLeek,3550,1446,0.40732394366197183,166,151,0.9294871794871795
monetdb_sqleek_r2,monetdb,2,optimizer,SQLeek,9324,5727,0.6142213642213642,1276,1148,0.9001572327044025
monetdb_sqleek_r2,monetdb,2,parser,SQLeek,148,22,0.14864864864864866,4,3,0.75
monetdb_sqleek_r2,monetdb,2,executor,SQLeek,5128,442,0.08619344773790952,91,57,0.6263736263736264
monetdb_sqleek_r2,monetdb,2,catalog_metadata,SQLeek,2148,1413,0.6578212290502793,271,232,0.8538461538461538
monetdb_sqleek_r2,monetdb,2,cursor_prepared,SQLeek,216,127,0.5879629629629629,5,3,0.75
monetdb_sqleek_r3,monetdb,3,other,SQLeek,102594,29235,0.2849581846891631,5999,4946,0.8258151714816692
monetdb_sqleek_r3,monetdb,3,storage,SQLeek,696,154,0.22126436781609196,219,127,0.5779816513761468
monetdb_sqleek_r3,monetdb,3,type_system,SQLeek,3550,1459,0.41098591549295777,166,151,0.9294871794871795
monetdb_sqleek_r3,monetdb,3,optimizer,SQLeek,9324,5767,0.6185113685113686,1276,1153,0.9040880503144654
monetdb_sqleek_r3,monetdb,3,parser,SQLeek,148,22,0.14864864864864866,4,3,0.75
monetdb_sqleek_r3,monetdb,3,executor,SQLeek,5128,500,0.09750390015600624,91,57,0.6263736263736264
monetdb_sqleek_r3,monetdb,3,catalog_metadata,SQLeek,2148,1413,0.6578212290502793,271,232,0.8538461538461538
monetdb_sqleek_r3,monetdb,3,cursor_prepared,SQLeek,216,127,0.5879629629629629,5,3,0.75
monetdb_sqleek_r4,monetdb,4,other,SQLeek,102594,28258,0.2754352106360996,5999,4922,0.8217604325054908
monetdb_sqleek_r4,monetdb,4,storage,SQLeek,696,154,0.22126436781609196,219,127,0.5779816513761468
monetdb_sqleek_r4,monetdb,4,type_system,SQLeek,3550,1459,0.41098591549295777,166,151,0.9294871794871795
monetdb_sqleek_r4,monetdb,4,optimizer,SQLeek,9324,5707,0.6120763620763621,1276,1143,0.8962264150943396
monetdb_sqleek_r4,monetdb,4,parser,SQLeek,148,22,0.14864864864864866,4,3,0.75
monetdb_sqleek_r4,monetdb,4,executor,SQLeek,5128,498,0.09711388455538221,91,57,0.6263736263736264
monetdb_sqleek_r4,monetdb,4,catalog_metadata,SQLeek,2148,1410,0.6564245810055865,271,232,0.8538461538461538
monetdb_sqleek_r4,monetdb,4,cursor_prepared,SQLeek,216,127,0.5879629629629629,5,3,0.75
monetdb_sqleek_r5,monetdb,5,other,SQLeek,102594,29132,0.28395422734272957,5999,4929,0.8229430647068762
monetdb_sqleek_r5,monetdb,5,storage,SQLeek,696,154,0.22126436781609196,219,127,0.5779816513761468
monetdb_sqleek_r5,monetdb,5,type_system,SQLeek,3550,1447,0.4076056338028169,166,151,0.9294871794871795
monetdb_sqleek_r5,monetdb,5,optimizer,SQLeek,9324,5735,0.6150793650793651,1276,1146,0.8985849056603774
monetdb_sqleek_r5,monetdb,5,parser,SQLeek,148,27,0.18243243243243243,4,3,0.75
monetdb_sqleek_r5,monetdb,5,executor,SQLeek,5128,546,0.10647425897035881,91,57,0.6263736263736264
monetdb_sqleek_r5,monetdb,5,catalog_metadata,SQLeek,2148,1415,0.6587523277467412,271,232,0.8538461538461538
monetdb_sqleek_r5,monetdb,5,cursor_prepared,SQLeek,216,126,0.5833333333333334,5,3,0.75
