run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
mysql_sqleek_r1,mysql,1,other,SQLeek,228,48,0.21052631578947367,58,26,0.45454545454545453
mysql_sqleek_r1,mysql,1,catalog_metadata,SQLeek,42,8,0.19047619047619047,4,3,0.75
mysql_sqleek_r1,mysql,1,type_system,SQLeek,3786,1810,0.4780771262546223,846,573,0.6853448275862069
mysql_sqleek_r1,mysql,1,executor,SQLeek,202,75,0.3712871287128713,7,6,0.6666666666666666
mysql_sqleek_r1,mysql,1,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r1,mysql,1,optimizer,SQLeek,46,32,0.6956521739130435,8,8,1.0
mysql_sqleek_r1,mysql,1,cursor_prepared,SQLeek,290,105,0.3620689655172414,5,5,1.0
mysql_sqleek_r1,mysql,1,storage,SQLeek,26,7,0.2692307692307692,6,4,0.6
mysql_sqleek_r3,mysql,3,other,SQLeek,228,48,0.21052631578947367,58,26,0.45454545454545453
mysql_sqleek_r3,mysql,3,catalog_metadata,SQLeek,42,8,0.19047619047619047,4,3,0.75
mysql_sqleek_r3,mysql,3,type_system,SQLeek,3786,1824,0.48177496038034867,846,574,0.6961206896551724
mysql_sqleek_r3,mysql,3,executor,SQLeek,202,75,0.3712871287128713,7,6,0.6666666666666666
mysql_sqleek_r3,mysql,3,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r3,mysql,3,optimizer,SQLeek,46,32,0.6956521739130435,8,8,1.0
mysql_sqleek_r3,mysql,3,cursor_prepared,SQLeek,290,106,0.36551724137931035,5,5,1.0
mysql_sqleek_r3,mysql,3,storage,SQLeek,26,7,0.2692307692307692,6,4,0.6
mysql_sqleek_r4,mysql,4,other,SQLeek,228,48,0.21052631578947367,58,26,0.45454545454545453
mysql_sqleek_r4,mysql,4,catalog_metadata,SQLeek,42,8,0.19047619047619047,4,3,0.75
mysql_sqleek_r4,mysql,4,type_system,SQLeek,3786,1834,0.4844162704701532,846,582,0.709051724137931
mysql_sqleek_r4,mysql,4,executor,SQLeek,202,75,0.3712871287128713,7,6,0.6666666666666666
mysql_sqleek_r4,mysql,4,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r4,mysql,4,optimizer,SQLeek,46,31,0.6739130434782609,8,8,1.0
mysql_sqleek_r4,mysql,4,cursor_prepared,SQLeek,290,105,0.3620689655172414,5,5,1.0
mysql_sqleek_r4,mysql,4,storage,SQLeek,26,7,0.2692307692307692,6,4,0.6
mysql_sqleek_r5,mysql,5,other,SQLeek,228,47,0.20614035087719298,58,26,0.45454545454545453
mysql_sqleek_r5,mysql,5,catalog_metadata,SQLeek,42,8,0.19047619047619047,4,3,0.75
mysql_sqleek_r5,mysql,5,type_system,SQLeek,3786,1816,0.479661912308505,846,573,0.7025862068965517
mysql_sqleek_r5,mysql,5,executor,SQLeek,202,75,0.3712871287128713,7,6,0.6666666666666666
mysql_sqleek_r5,mysql,5,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r5,mysql,5,optimizer,SQLeek,46,32,0.6956521739130435,8,8,1.0
mysql_sqleek_r5,mysql,5,cursor_prepared,SQLeek,290,106,0.36551724137931035,5,5,1.0
mysql_sqleek_r5,mysql,5,storage,SQLeek,26,7,0.2692307692307692,6,4,0.6
