run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,0,1200.0,0.375,2738.478260869565,0.5652173913043478,37868,0.22194350017582934
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,60,1200.0,0.375,2949.1304347826085,0.608695652173913,80415,0.4713105145938343
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,180,1200.0,0.375,3159.782608695652,0.6521739130434783,81774,0.4792755831672723
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,300,1200.0,0.375,3159.782608695652,0.6521739130434783,82473,0.4833724065174071
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,480,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83013,0.4865373344273825
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,600,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83163,0.48741648106904234
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,720,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83217,0.48773297386003983
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,900,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83385,0.48871761809869885
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,1200,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83521,0.4895147110538038
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,1440,1400.0,0.4375,3370.4347826086955,0.6956521739130435,83577,0.4898429258000234
