run_id,dbms,repeat_id,region_id,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source,hit
postgresql_sqleek_r1,postgres,1,postgres_target_000001,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2506,2498,2509,,function,0
postgresql_sqleek_r1,postgres,1,postgres_target_000002,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2507,2502,2512,,window,1
postgresql_sqleek_r1,postgres,1,postgres_target_000003,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2516,2511,2521,,window,1
postgresql_sqleek_r1,postgres,1,postgres_target_000004,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2533,2526,2534,,function,1
postgresql_sqleek_r1,postgres,1,postgres_target_000005,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,2541,2536,2546,,window,1
postgresql_sqleek_r1,postgres,1,postgres_target_000006,stale,executor,execExprInterp.c,src/backend/executor/execExprInterp.c,execExprInterp.c,3671,3666,3676,,window,1
postgresql_sqleek_r1,postgres,1,postgres_target_000007,stale,storage,expandedrecord.c,src/backend/utils/adt/expandedrecord.c,expandedrecord.c,102,80,103,,function,0
postgresql_sqleek_r1,postgres,1,postgres_target_000008,stale,storage,expandedrecord.c,src/backend/utils/adt/expandedrecord.c,expandedrecord.c,234,215,235,,function,0
postgresql_sqleek_r1,postgres,1,postgres_target_000009,stale,other,pl_comp.c,src/pl/plpgsql/src/pl_comp.c,pl_comp.c,2093,2088,2098,,window,0
postgresql_sqleek_r1,postgres,1,postgres_target_000010,stale,other,pl_comp.c,src/pl/plpgsql/src/pl_comp.c,pl_comp.c,2099,2094,2104,,window,0
postgresql_sqleek_r1,postgres,1,postgres_target_000011,stale,executor,pl_exec.c,src/pl/plpgsql/src/pl_exec.c,pl_exec.c,7148,7122,7164,make_expanded_record_for_rec,function,0
