source_path	checkpoint_path	filename	size	mtime_epoch	mtime_utc	sha256	is_initial_corpus	is_hi_val_online_score_input	elapsed_ms	elapsed_source	selected_for_24h_replay
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000000,orig:00__sqleek_memory__llm_rank00_00__cfc95083543f__cfc95083543f.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000000,orig:00__sqleek_memory__llm_rank00_00__cfc95083543f__cfc95083543f.sql	id:000000,orig:00__sqleek_memory__llm_rank00_00__cfc95083543f__cfc95083543f.sql	444	1784167920.6655066	2026-07-16T02:12:00.665507Z	cfc95083543f8c5d55b987b1824de5f8e3e19c7fbd62ee2fc820c217e8984e27	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000001,orig:00__sqleek_memory__llm_rank01_00__251253915cfc__251253915cfc.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000001,orig:00__sqleek_memory__llm_rank01_00__251253915cfc__251253915cfc.sql	id:000001,orig:00__sqleek_memory__llm_rank01_00__251253915cfc__251253915cfc.sql	502	1784167920.6695065	2026-07-16T02:12:00.669507Z	251253915cfcaef233a1cc0d46d4f54d69a0a6caa17ff3a4455edbab0a8e6adc	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000002,orig:00__sqleek_memory__llm_rank02_00__6c41aa827311__6c41aa827311.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000002,orig:00__sqleek_memory__llm_rank02_00__6c41aa827311__6c41aa827311.sql	id:000002,orig:00__sqleek_memory__llm_rank02_00__6c41aa827311__6c41aa827311.sql	173	1784167920.6695065	2026-07-16T02:12:00.669507Z	6c41aa827311df7fb909e78d054d6a1d6675033acdd7e6578d42b54cf9c10c14	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000003,orig:00__sqleek_memory__llm_rank02_09__0962eb1d22c7__0962eb1d22c7.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000003,orig:00__sqleek_memory__llm_rank02_09__0962eb1d22c7__0962eb1d22c7.sql	id:000003,orig:00__sqleek_memory__llm_rank02_09__0962eb1d22c7__0962eb1d22c7.sql	181	1784167920.6695065	2026-07-16T02:12:00.669507Z	0962eb1d22c76ee1bd311dff777e0ce4a27c919b9c1441eebcf7e5b817e9c25e	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000004,orig:00__sqleek_memory__llm_rank03_00__2e6be49d83a4__2e6be49d83a4.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000004,orig:00__sqleek_memory__llm_rank03_00__2e6be49d83a4__2e6be49d83a4.sql	id:000004,orig:00__sqleek_memory__llm_rank03_00__2e6be49d83a4__2e6be49d83a4.sql	376	1784167920.6695065	2026-07-16T02:12:00.669507Z	2e6be49d83a419aea68a5aa1cf390416413d32df21294a7d7b1c1e01a2b7f820	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000005,orig:00__sqleek_memory__llm_rank03_01__53ca6251e23b__53ca6251e23b.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000005,orig:00__sqleek_memory__llm_rank03_01__53ca6251e23b__53ca6251e23b.sql	id:000005,orig:00__sqleek_memory__llm_rank03_01__53ca6251e23b__53ca6251e23b.sql	375	1784167920.6695065	2026-07-16T02:12:00.669507Z	53ca6251e23b3f2d131ec552600d65b67b1a75580e463bfa21344d2f9db2fdc4	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000006,orig:00__sqleek_memory__llm_rank03_02__8d59413af017__8d59413af017.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000006,orig:00__sqleek_memory__llm_rank03_02__8d59413af017__8d59413af017.sql	id:000006,orig:00__sqleek_memory__llm_rank03_02__8d59413af017__8d59413af017.sql	374	1784167920.6695065	2026-07-16T02:12:00.669507Z	8d59413af01730a894c02106e82117a7f2d9790ca84448d1f8cf3d12b0c0fd11	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000007,orig:00__sqleek_memory__llm_rank04_00__2df18387367d__2df18387367d.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000007,orig:00__sqleek_memory__llm_rank04_00__2df18387367d__2df18387367d.sql	id:000007,orig:00__sqleek_memory__llm_rank04_00__2df18387367d__2df18387367d.sql	232	1784167920.6695065	2026-07-16T02:12:00.669507Z	2df18387367dec1e1a4fb5fd6187b481803c1f3fb2fc121b24a51d76df8e6607	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000008,orig:01__select_only__3des__9fb9b552add1__9fb9b552add1.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000008,orig:01__select_only__3des__9fb9b552add1__9fb9b552add1.sql	id:000008,orig:01__select_only__3des__9fb9b552add1__9fb9b552add1.sql	750	1784167920.6695065	2026-07-16T02:12:00.669507Z	9fb9b552add1958c84be4629f8bc48059d5c39f2fef07ae27efc8f4d76e4b27a	True	False	0	initial_orig	True
/root/sqleek_stage3_runs/postgresql/pg2x24h_staged500_copyfix0007_20260716_021147_r1/output/postgres_memory/default/queue/id:000009,orig:01__select_only__adminpack__627ab8fdfdbb__627ab8fdfdbb.sql	/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/queue/id:000009,orig:01__select_only__adminpack__627ab8fdfdbb__627ab8fdfdbb.sql	id:000009,orig:01__select_only__adminpack__627ab8fdfdbb__627ab8fdfdbb.sql	1519	1784167920.6695065	2026-07-16T02:12:00.669507Z	627ab8fdfdbb0ac9505363adb7fd6c2e362956b168b1abab8340a110f8dd980b	True	False	0	initial_orig	True
