region_id,dbms,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source
sqlite_target_000001,sqlite,stale,storage,btree.c,src/btree.c,btree.c,10204,10204,10210,sqlite3PagerUnref,function
sqlite_target_000002,sqlite,stale,catalog_metadata,btree.c,src/btree.c,btree.c,10283,10283,10302,sqlite3BtreeClearTable,function
sqlite_target_000003,sqlite,stale,storage,btree.c,src/btree.c,btree.c,1030,1030,1033,sqlite3BtreeCursorHintFlags,function
sqlite_target_000004,sqlite,stale,catalog_metadata,btree.c,src/btree.c,btree.c,10309,10309,10311,sqlite3BtreeClearTableOfCursor,function
sqlite_target_000005,sqlite,stale,storage,btree.c,src/btree.c,btree.c,10418,10418,10424,releasePage,function
sqlite_target_000006,sqlite,stale,storage,btree.c,src/btree.c,btree.c,10447,10447,10471,sqlite3BtreeGetMeta,function
sqlite_target_000007,sqlite,stale,type_system,btree.c,src/btree.c,btree.c,10477,10477,10499,sqlite3BtreeUpdateMeta,function
sqlite_target_000008,sqlite,stale,storage,btree.c,src/btree.c,btree.c,10509,10509,10572,encountered,function
sqlite_target_000009,sqlite,stale,storage,btree.c,src/btree.c,btree.c,10578,10578,10580,sqlite3BtreePager,function
sqlite_target_000010,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11146,11141,11151,,window
sqlite_target_000011,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11304,11304,11307,sqlite3BtreeGetFilename,function
sqlite_target_000012,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11317,11317,11320,sqlite3BtreeGetJournalname,function
sqlite_target_000013,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11326,11326,11329,sqlite3BtreeTxnState,function
sqlite_target_000014,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11340,11340,11353,sqlite3BtreeCheckpoint,function
sqlite_target_000015,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11359,11359,11363,sqlite3BtreeIsInBackup,function
sqlite_target_000016,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11385,11385,11395,sqlite3_free,function
sqlite_target_000017,sqlite,stale,catalog_metadata,btree.c,src/btree.c,btree.c,11402,11402,11411,sqlite3BtreeSchemaLocked,function
sqlite_target_000018,sqlite,stale,catalog_metadata,btree.c,src/btree.c,btree.c,11420,11420,11436,sqlite3BtreeLockTable,function
sqlite_target_000019,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11450,11450,11493,sqlite3BtreePutData,function
sqlite_target_000020,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11498,11498,11501,sqlite3BtreeIncrblobCursor,function
sqlite_target_000021,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11509,11509,11538,sqlite3BtreeSetVersion,function
sqlite_target_000022,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11544,11544,11546,sqlite3BtreeCursorHasHint,function
sqlite_target_000023,sqlite,stale,storage,btree.c,src/btree.c,btree.c,11551,11551,11553,sqlite3BtreeIsReadonly,function
