run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
monetdb_squirrel_r1,monetdb,1,other,SQUIRREL,102594,7115,0.06935103417353841,5999,2837,0.47558709241425917
monetdb_squirrel_r1,monetdb,1,storage,SQUIRREL,696,87,0.125,219,89,0.40825688073394495
monetdb_squirrel_r1,monetdb,1,type_system,SQUIRREL,3550,430,0.12112676056338029,166,69,0.4423076923076923
monetdb_squirrel_r1,monetdb,1,optimizer,SQUIRREL,9324,2732,0.293007293007293,1276,729,0.5715408805031447
monetdb_squirrel_r1,monetdb,1,parser,SQUIRREL,148,20,0.13513513513513514,4,3,0.75
monetdb_squirrel_r1,monetdb,1,executor,SQUIRREL,5128,122,0.02379095163806552,91,34,0.37362637362637363
monetdb_squirrel_r1,monetdb,1,catalog_metadata,SQUIRREL,2148,656,0.3054003724394786,271,159,0.6
monetdb_squirrel_r1,monetdb,1,cursor_prepared,SQUIRREL,216,12,0.05555555555555555,5,1,0.25
monetdb_squirrel_r2,monetdb,2,other,SQUIRREL,102594,7123,0.06942901144316432,5999,2837,0.47558709241425917
monetdb_squirrel_r2,monetdb,2,storage,SQUIRREL,696,87,0.125,219,89,0.40825688073394495
monetdb_squirrel_r2,monetdb,2,type_system,SQUIRREL,3550,430,0.12112676056338029,166,69,0.4423076923076923
monetdb_squirrel_r2,monetdb,2,optimizer,SQUIRREL,9324,2733,0.2931145431145431,1276,729,0.5715408805031447
monetdb_squirrel_r2,monetdb,2,parser,SQUIRREL,148,20,0.13513513513513514,4,3,0.75
monetdb_squirrel_r2,monetdb,2,executor,SQUIRREL,5128,125,0.02437597503900156,91,34,0.37362637362637363
monetdb_squirrel_r2,monetdb,2,catalog_metadata,SQUIRREL,2148,657,0.3058659217877095,271,159,0.6
monetdb_squirrel_r2,monetdb,2,cursor_prepared,SQUIRREL,216,12,0.05555555555555555,5,1,0.25
monetdb_squirrel_r3,monetdb,3,other,SQUIRREL,102594,7114,0.06934128701483518,5999,2837,0.47558709241425917
monetdb_squirrel_r3,monetdb,3,storage,SQUIRREL,696,87,0.125,219,89,0.40825688073394495
monetdb_squirrel_r3,monetdb,3,type_system,SQUIRREL,3550,430,0.12112676056338029,166,69,0.4423076923076923
monetdb_squirrel_r3,monetdb,3,optimizer,SQUIRREL,9324,2733,0.2931145431145431,1276,729,0.5715408805031447
monetdb_squirrel_r3,monetdb,3,parser,SQUIRREL,148,20,0.13513513513513514,4,3,0.75
monetdb_squirrel_r3,monetdb,3,executor,SQUIRREL,5128,123,0.023985959438377537,91,34,0.37362637362637363
monetdb_squirrel_r3,monetdb,3,catalog_metadata,SQUIRREL,2148,656,0.3054003724394786,271,159,0.6
monetdb_squirrel_r3,monetdb,3,cursor_prepared,SQUIRREL,216,12,0.05555555555555555,5,1,0.25
monetdb_squirrel_r4,monetdb,4,other,SQUIRREL,102594,7119,0.06939002280835137,5999,2837,0.47558709241425917
monetdb_squirrel_r4,monetdb,4,storage,SQUIRREL,696,87,0.125,219,89,0.40825688073394495
monetdb_squirrel_r4,monetdb,4,type_system,SQUIRREL,3550,430,0.12112676056338029,166,69,0.4423076923076923
monetdb_squirrel_r4,monetdb,4,optimizer,SQUIRREL,9324,2733,0.2931145431145431,1276,729,0.5715408805031447
monetdb_squirrel_r4,monetdb,4,parser,SQUIRREL,148,20,0.13513513513513514,4,3,0.75
monetdb_squirrel_r4,monetdb,4,executor,SQUIRREL,5128,122,0.02379095163806552,91,34,0.37362637362637363
monetdb_squirrel_r4,monetdb,4,catalog_metadata,SQUIRREL,2148,657,0.3058659217877095,271,159,0.6
monetdb_squirrel_r4,monetdb,4,cursor_prepared,SQUIRREL,216,12,0.05555555555555555,5,1,0.25
monetdb_squirrel_r5,monetdb,5,other,SQUIRREL,102594,7125,0.0694485057605708,5999,2837,0.47558709241425917
monetdb_squirrel_r5,monetdb,5,storage,SQUIRREL,696,87,0.125,219,89,0.40825688073394495
monetdb_squirrel_r5,monetdb,5,type_system,SQUIRREL,3550,430,0.12112676056338029,166,69,0.4423076923076923
monetdb_squirrel_r5,monetdb,5,optimizer,SQUIRREL,9324,2733,0.2931145431145431,1276,729,0.5715408805031447
monetdb_squirrel_r5,monetdb,5,parser,SQUIRREL,148,20,0.13513513513513514,4,3,0.75
monetdb_squirrel_r5,monetdb,5,executor,SQUIRREL,5128,125,0.02437597503900156,91,34,0.37362637362637363
monetdb_squirrel_r5,monetdb,5,catalog_metadata,SQUIRREL,2148,657,0.3058659217877095,271,159,0.6
monetdb_squirrel_r5,monetdb,5,cursor_prepared,SQUIRREL,216,12,0.05555555555555555,5,1,0.25
