run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
postgres_squirrel_r1,postgres,1,executor,SQUIRREL,808.96,101.12,0.125,4,2,0.6666666666666666
postgres_squirrel_r1,postgres,1,storage,SQUIRREL,606.72,0,0.0,4,0,0.0
postgres_squirrel_r1,postgres,1,type_system,SQUIRREL,404.48,303.36,0.75,6,6,1.0
postgres_squirrel_r1,postgres,1,other,SQUIRREL,1415.68,202.24,0.14285714285714285,8,2,0.25
postgres_squirrel_r2,postgres,2,executor,SQUIRREL,808.96,101.12,0.125,4,2,0.6666666666666666
postgres_squirrel_r2,postgres,2,storage,SQUIRREL,606.72,0,0.0,4,0,0.0
postgres_squirrel_r2,postgres,2,type_system,SQUIRREL,404.48,303.36,0.75,6,6,1.0
postgres_squirrel_r2,postgres,2,other,SQUIRREL,1415.68,202.24,0.14285714285714285,8,2,0.25
postgres_squirrel_r3,postgres,3,executor,SQUIRREL,808.96,101.12,0.125,4,2,0.6666666666666666
postgres_squirrel_r3,postgres,3,storage,SQUIRREL,606.72,0,0.0,4,0,0.0
postgres_squirrel_r3,postgres,3,type_system,SQUIRREL,404.48,303.36,0.75,6,6,1.0
postgres_squirrel_r3,postgres,3,other,SQUIRREL,1415.68,303.36,0.21428571428571427,8,4,0.5
postgres_squirrel_r4,postgres,4,executor,SQUIRREL,808.96,101.12,0.125,4,2,0.6666666666666666
postgres_squirrel_r4,postgres,4,storage,SQUIRREL,606.72,0,0.0,4,0,0.0
postgres_squirrel_r4,postgres,4,type_system,SQUIRREL,404.48,303.36,0.75,6,6,1.0
postgres_squirrel_r4,postgres,4,other,SQUIRREL,1415.68,303.36,0.21428571428571427,8,4,0.5
postgres_squirrel_r5,postgres,5,executor,SQUIRREL,808.96,101.12,0.125,4,2,0.6666666666666666
postgres_squirrel_r5,postgres,5,storage,SQUIRREL,606.72,0,0.0,4,0,0.0
postgres_squirrel_r5,postgres,5,type_system,SQUIRREL,404.48,303.36,0.75,6,6,1.0
postgres_squirrel_r5,postgres,5,other,SQUIRREL,1415.68,303.36,0.21428571428571427,8,4,0.5
