run_id,tool,dbms,repeat_id,elapsed_sec,raw_crash_id,stack_hash,canonical_bug_id,status,top_frame,trigger_file
postgresql_sqleek_r4,SQLeek,PostgreSQL,4,6316,crash_PG-1_SQLeek,98601,PG-1,Fixed,heap_deform_tuple,triggers/PG-1.sql
postgresql_sqleek_r4,SQLeek,PostgreSQL,4,5960,crash_PG-2_SQLeek,31996,PG-2,Fixed,record_out,triggers/PG-2.sql
mysql_sqleek_r5,SQLeek,MySQL,5,9514,crash_MY-1_SQLeek,91080,MY-1,Confirmed,Cached_item_decimal::cmp,triggers/MY-1.sql
mysql_sqleek_r2,SQLeek,MySQL,2,7931,crash_MY-2_SQLeek,18676,MY-2,Confirmed,Item_func_str_to_temporal::eval_datetime,triggers/MY-2.sql
mysql_sqleek_r2,SQLeek,MySQL,2,11834,crash_MY-3_SQLeek,78151,MY-3,Reported,String::copy,triggers/MY-3.sql
mariadb_sqleek_r1,SQLeek,MariaDB,1,10086,crash_MA-1_SQLeek,36119,MA-1,Fixed,Item_func_spatial_operation::val_str,triggers/MA-1.sql
mariadb_sqleek_r1,SQLeek,MariaDB,1,13052,crash_MA-2_SQLeek,40374,MA-2,Confirmed,JOIN::optimize,triggers/MA-2.sql
mariadb_sqleek_r3,SQLeek,MariaDB,3,14900,crash_MA-3_SQLeek,57091,MA-3,Confirmed,subselect_hash_sj_engine::exec,triggers/MA-3.sql
mariadb_sqleek_r5,SQLeek,MariaDB,5,14175,crash_MA-4_SQLeek,38361,MA-4,Confirmed,Item_field::fix_fields,triggers/MA-4.sql
monetdb_sqleek_r2,SQLeek,MonetDB,2,17569,crash_MO-1_SQLeek,47527,MO-1,Reported,exp_bin,triggers/MO-1.sql
monetdb_sqleek_r1,SQLeek,MonetDB,1,18331,crash_MO-2_SQLeek,55444,MO-2,Reported,rel2bin_project,triggers/MO-2.sql
monetdb_sqleek_r5,SQLeek,MonetDB,5,18736,crash_MO-3_SQLeek,55315,MO-3,Reported,exp_match,triggers/MO-3.sql
monetdb_sqleek_r4,SQLeek,MonetDB,4,18913,crash_MO-4_SQLeek,97141,MO-4,Reported,list_append,triggers/MO-4.sql
sqlite_sqleek_r3,SQLeek,SQLite,3,22779,crash_SQ-1_SQLeek,15072,SQ-1,Reported,sqlite3VdbeExec,triggers/SQ-1.sql
mariadb_sqleek_r3,SQLeek,MariaDB,3,9823,crash_SH-1_SQLeek,79438,SH-1,Confirmed,JOIN::exec,triggers/SH-1.sql
mariadb_griffin_r1,Griffin,MariaDB,1,8799,crash_SH-1_Griffin,79438,SH-1,Confirmed,JOIN::exec,triggers/SH-1.sql
sqlite_sqleek_r2,SQLeek,SQLite,2,10112,crash_SH-2_SQLeek,83894,SH-2,Reported,sqlite3WhereBegin,triggers/SH-2.sql
sqlite_squirrel_r1,SQUIRREL,SQLite,1,12349,crash_SH-2_SQUIRREL,83894,SH-2,Reported,sqlite3WhereBegin,triggers/SH-2.sql
mysql_sqleek_r3,SQLeek,MySQL,3,13905,crash_SH-3_SQLeek,65204,SH-3,Confirmed,copy_inner,triggers/SH-3.sql
mysql_griffin_r1,Griffin,MySQL,1,13605,crash_SH-3_Griffin,65204,SH-3,Confirmed,copy_inner,triggers/SH-3.sql
mysql_squirrel_r1,SQUIRREL,MySQL,1,12315,crash_SH-3_SQUIRREL,65204,SH-3,Confirmed,copy_inner,triggers/SH-3.sql
monetdb_sqleek_r4,SQLeek,MonetDB,4,15583,crash_SH-4_SQLeek,72609,SH-4,Reported,rel2bin_antijoin,triggers/SH-4.sql
postgresql_sqleek_r4,SQLeek,PostgreSQL,4,15253,crash_SH-5_SQLeek,77132,SH-5,Reported,ExecEvalRow,triggers/SH-5.sql
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,15146,crash_SH-5_AFLGo,77132,SH-5,Reported,ExecEvalRow,triggers/SH-5.sql
sqlite_griffin_r3,Griffin,SQLite,3,15609,crash_B-GR-1_Griffin,65352,B-GR-1,Reported,sqlite3ExprCodeTarget,triggers/B-GR-1.sql
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,18126,crash_B-SQ-1_SQUIRREL,49278,B-SQ-1,Reported,Item_sum::fix_fields,triggers/B-SQ-1.sql
mysql_sqlaser_r1,SQLaser,MySQL,1,21631,crash_B-SL-1_SQLaser,76005,B-SL-1,Reported,JOIN::optimize,triggers/B-SL-1.sql
sqlite_sqlancer_r3,SQLancer,SQLite,3,24512,crash_B-SC-1_SQLancer,60025,B-SC-1,Reported,sqlite3Select,triggers/B-SC-1.sql
