canonical_bug_id,dbms,status,SQLeek,SQLaser,AFLGo,DeepGo,Griffin,SQUIRREL,DynSQL,SQLancer
PG-1,PostgreSQL,Fixed,1,0,0,0,0,0,0,0
PG-2,PostgreSQL,Fixed,1,0,0,0,0,0,0,0
MY-1,MySQL,Confirmed,1,0,0,0,0,0,0,0
MY-2,MySQL,Confirmed,1,0,0,0,0,0,0,0
MY-3,MySQL,Reported,1,0,0,0,0,0,0,0
MA-1,MariaDB,Fixed,1,0,0,0,0,0,0,0
MA-2,MariaDB,Confirmed,1,0,0,0,0,0,0,0
MA-3,MariaDB,Confirmed,1,0,0,0,0,0,0,0
MA-4,MariaDB,Confirmed,1,0,0,0,0,0,0,0
MO-1,MonetDB,Reported,1,0,0,0,0,0,0,0
MO-2,MonetDB,Reported,1,0,0,0,0,0,0,0
MO-3,MonetDB,Reported,1,0,0,0,0,0,0,0
MO-4,MonetDB,Reported,1,0,0,0,0,0,0,0
SQ-1,SQLite,Reported,1,0,0,0,0,0,0,0
SH-1,MariaDB,Confirmed,1,0,0,0,1,0,0,0
SH-2,SQLite,Reported,1,0,0,0,0,1,0,0
SH-3,MySQL,Confirmed,1,0,0,0,1,1,0,0
SH-4,MonetDB,Reported,1,0,0,0,0,0,0,0
SH-5,PostgreSQL,Reported,1,0,1,0,0,0,0,0
B-GR-1,SQLite,Reported,0,0,0,0,1,0,0,0
B-SQ-1,MariaDB,Reported,0,0,0,0,0,1,0,0
B-SL-1,MySQL,Reported,0,1,0,0,0,0,0,0
B-SC-1,SQLite,Reported,0,0,0,0,0,0,0,1
