tool,dbms,target_region_branches_hit_mean,target_region_branches_total,target_region_branch_coverage_mean,target_regions_hit_mean,target_regions_total,target_region_hit_coverage_mean,global_branches_hit_mean,global_branches_total,global_branch_coverage_mean
SQLeek,PostgreSQL,1415.68,3235.84,0.4375,32.0,46.0,0.6956521739130435,122222.66778806705,249514,0.4898429258000235
SQLaser,PostgreSQL,202.24,3235.84,0.0625,11.767441860465116,46.0,0.2558139534883721,36694.99999999999,249514,0.1470658961020223
AFLGo,PostgreSQL,101.12,3235.84,0.03125,7.488372093023256,46.0,0.16279069767441862,20767.99999999999,249514,0.0832338065198746
Griffin,PostgreSQL,744.2431999999999,3235.84,0.22999999999999998,30.28333333333334,46.0,0.6583333333333334,170937.88283333334,249514,0.6850833333333333
SQUIRREL,PostgreSQL,667.392,3235.84,0.20625,30.167441860465118,46.0,0.6558139534883721,60135.4,249514,0.24101012368043473
DynSQL,PostgreSQL,101.12,3235.84,0.03125,8.0,46.0,0.17391304347826086,20688.0,249514,0.0829131832281956
SQLancer,PostgreSQL,560.8789333333332,3235.84,0.17333333333333328,8.049999999999997,46.0,0.17499999999999993,169718.0366111111,249514,0.6801944444444444
SQLeek,MySQL,2649.0,4602.0,0.575619295958279,993.3203631647214,1445.0,0.6874189364461739,125973.99999999996,326944,0.3853075756092786
SQLaser,MySQL,2188.3999999999996,4602.0,0.47553237722729247,871.4980544747083,1445.0,0.6031128404669261,106698.6,326944,0.326351301751982
AFLGo,MySQL,1171.9999999999998,4602.0,0.2546718817905258,580.9987029831387,1445.0,0.4020752269779507,64228.99999999998,326944,0.1964526035039639
Griffin,MySQL,1410.1999999999998,4602.0,0.30643198609300304,552.3999999999999,1445.0,0.38228373702422136,63852.59999999999,326944,0.19530133600861305
SQUIRREL,MySQL,1309.3999999999999,4602.0,0.28452846588439806,595.6173800259403,1445.0,0.4121919584954604,59611.999999999985,326944,0.1823309190564745
DynSQL,MySQL,1348.9366,4602.0,0.293119643633203,655.199,1445.0,0.4534249134948097,66794.5574,326944,0.20429968863169226
SQLancer,MySQL,630.5999999999998,4602.0,0.13702737940026072,228.86380465116272,1445.0,0.15838325581395343,6992.199999999984,326944,0.021386537143975683
SQLeek,MariaDB,2328.7999999999997,4248.0,0.548210922787194,2129.4419658417564,3041.0,0.7002439874520738,112363.0,295012,0.38087603216140353
AFLGo,MariaDB,1057.2233883058468,4248.0,0.2488755622188905,969.8553502962704,3041.0,0.31892645521087487,49752.99999999998,295012,0.1686473770558485
Griffin,MariaDB,1621.0,4248.0,0.3815913370998117,1479.6918787033808,3041.0,0.4865806901359358,71766.0,295012,0.2432646807587488
SQUIRREL,MariaDB,1410.0,4248.0,0.3319209039548023,1341.8982223771347,3041.0,0.4412687347507842,69343.99999999999,295012,0.23505484522663483
DynSQL,MariaDB,1330.9598,4248.0,0.3133144538606403,1079.0386,3041.0,0.35483018743834266,60525.8296,295012,0.20516395807628157
SQLancer,MariaDB,1162.6,4248.0,0.2736817325800377,415.0330356521739,3041.0,0.1364791304347826,8882.999999999985,295012,0.030110639567204
SQLeek,SQLite,2204.75,2808.0,0.785167378917379,652.5,886.0,0.7364559819413092,28107.75,62524,0.44955496489239366
SQLaser,SQLite,1997.6,2808.0,0.7113960113960114,639.2,886.0,0.7214446952595938,25125.4,62564,0.40160534599782094
AFLGo,SQLite,1567.0,2808.0,0.5580484330484331,566.0,886.0,0.6388261851015802,16410.0,62508,0.2625263966212325
Griffin,SQLite,1676.4,2808.0,0.597008547008547,621.6,886.0,0.7015801354401806,19893.0,62524,0.31816582432345974
SQUIRREL,SQLite,1627.4,2808.0,0.5795584045584046,604.6,886.0,0.682392776523702,19040.6,62540,0.3044722524865954
DynSQL,SQLite,1551.6142,2808.0,0.5525691595441595,509.212,886.0,0.5747313769751693,18188.173,62524,0.29089906275990013
SQLancer,SQLite,1381.0,2808.0,0.4918091168091168,532.0,886.0,0.600451467268623,13693.0,62484,0.2191441008898278
SQLeek,MonetDB,36851.2,120042.0,0.306985888272438,8614.271942874144,10233.0,0.8418129524942972,96755.79999999999,301870,0.32052141650379296
SQLaser,MonetDB,12957.8,120042.0,0.10794388630645937,5904.6,10233.0,0.5770155379654061,36631.2,301870,0.12134759996024776
AFLGo,MonetDB,12819.999999999996,120042.0,0.1067959547491711,5841.629277000893,10233.0,0.5708618466726173,35441.0,301870,0.11740484314439989
Griffin,MonetDB,26894.0,120042.0,0.22403825327801927,8368.671823861945,10233.0,0.8178121590796389,77893.0,301870,0.2580349156921854
SQUIRREL,MonetDB,10791.2,120042.0,0.08989520334549568,5263.0,10233.0,0.5143164272451871,31162.0,301870,0.10322986716136082
DynSQL,MonetDB,22159.3546,120042.0,0.1845966794955099,3226.807,10233.0,0.31533343105638617,56254.4346,301870,0.1863531805081657
SQLancer,MonetDB,7221.4,120042.0,0.0601572782859332,,10233.0,,,301870,0.0
