run_id,tool,dbms,repeat_id,relative_time,edges_found
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,0,55378.010502871875
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,3600,117598.57173836596
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,10800,119585.96785839878
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,18000,120608.18263978431
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,28800,121397.87646231391
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,36000,121617.23585746101
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,43200,121696.20523971396
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,54000,121941.88776227873
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,72000,122140.7736138788
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,86400,122222.66778806705
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,0,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,3600,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,10800,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,18000,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,28800,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,36000,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,43200,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,54000,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,72000,36694.99999999999
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,86400,36694.99999999999
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,0,0.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,3600,1064.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,10800,2124.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,18000,2765.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,28800,3391.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,36000,3718.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,43200,3971.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,54000,4290.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,72000,4722.0
postgresql_sqlaser_r2,SQLaser,PostgreSQL,2,86400,4969.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,0,0.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,3600,1055.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,10800,2128.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,18000,2768.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,28800,3394.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,36000,3713.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,43200,3981.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,54000,4275.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,72000,4705.0
postgresql_sqlaser_r3,SQLaser,PostgreSQL,3,86400,4976.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,0,0.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,3600,1061.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,10800,2131.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,18000,2763.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,28800,3393.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,36000,3708.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,43200,3963.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,54000,4291.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,72000,4707.0
postgresql_sqlaser_r4,SQLaser,PostgreSQL,4,86400,4976.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,0,0.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,3600,1057.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,10800,2127.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,18000,2761.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,28800,3392.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,36000,3705.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,43200,3970.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,54000,4269.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,72000,4704.0
postgresql_sqlaser_r5,SQLaser,PostgreSQL,5,86400,4979.0
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,0,16932.999999999993
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,3600,18506.999999999996
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,10800,20502.99999999998
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,18000,20691.999999999985
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,28800,20761.999999999996
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,36000,20765.999999999985
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,43200,20765.999999999985
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,54000,20765.999999999985
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,72000,20765.999999999985
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,86400,20767.99999999999
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,0,0.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,3600,1053.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,10800,2113.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,18000,2740.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,28800,3365.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,36000,3678.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,43200,3947.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,54000,4267.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,72000,4680.0
postgresql_aflgo_r2,AFLGo,PostgreSQL,2,86400,4945.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,0,0.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,3600,1052.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,10800,2124.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,18000,2754.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,28800,3384.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,36000,3692.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,43200,3953.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,54000,4270.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,72000,4702.0
postgresql_aflgo_r3,AFLGo,PostgreSQL,3,86400,4949.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,0,0.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,3600,1052.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,10800,2123.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,18000,2745.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,28800,3382.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,36000,3692.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,43200,3939.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,54000,4263.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,72000,4691.0
postgresql_aflgo_r4,AFLGo,PostgreSQL,4,86400,4957.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,0,0.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,3600,1057.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,10800,2117.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,18000,2743.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,28800,3374.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,36000,3684.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,43200,3943.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,54000,4262.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,72000,4678.0
postgresql_aflgo_r5,AFLGo,PostgreSQL,5,86400,4954.0
postgresql_griffin_r1,Griffin,PostgreSQL,1,0,0.0
postgresql_griffin_r1,Griffin,PostgreSQL,1,3600,151856.99277777778
postgresql_griffin_r1,Griffin,PostgreSQL,1,10800,161629.62444444446
postgresql_griffin_r1,Griffin,PostgreSQL,1,18000,163362.36055555556
postgresql_griffin_r1,Griffin,PostgreSQL,1,28800,166931.79694444445
postgresql_griffin_r1,Griffin,PostgreSQL,1,36000,166931.79694444445
postgresql_griffin_r1,Griffin,PostgreSQL,1,43200,167763.51027777776
postgresql_griffin_r1,Griffin,PostgreSQL,1,54000,167763.51027777776
postgresql_griffin_r1,Griffin,PostgreSQL,1,72000,170605.19749999998
postgresql_griffin_r1,Griffin,PostgreSQL,1,86400,170605.19749999998
postgresql_griffin_r2,Griffin,PostgreSQL,2,0,0.0
postgresql_griffin_r2,Griffin,PostgreSQL,2,3600,151337.17194444445
postgresql_griffin_r2,Griffin,PostgreSQL,2,10800,163916.8361111111
postgresql_griffin_r2,Griffin,PostgreSQL,2,18000,163916.8361111111
postgresql_griffin_r2,Griffin,PostgreSQL,2,28800,167001.1063888889
postgresql_griffin_r2,Griffin,PostgreSQL,2,36000,168803.15194444443
postgresql_griffin_r2,Griffin,PostgreSQL,2,43200,169080.38972222223
postgresql_griffin_r2,Griffin,PostgreSQL,2,54000,169080.38972222223
postgresql_griffin_r2,Griffin,PostgreSQL,2,72000,169322.9727777778
postgresql_griffin_r2,Griffin,PostgreSQL,2,86400,171090.36361111113
postgresql_griffin_r3,Griffin,PostgreSQL,3,0,0.0
postgresql_griffin_r3,Griffin,PostgreSQL,3,3600,152480.77777777778
