run_id,dbms,repeat_id,region_id,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source,hit
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000001,stale,storage,btree.c,src/btree.c,btree.c,10204,10204,10210,sqlite3PagerUnref,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000002,stale,catalog_metadata,btree.c,src/btree.c,btree.c,10283,10283,10302,sqlite3BtreeClearTable,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000003,stale,storage,btree.c,src/btree.c,btree.c,1030,1030,1033,sqlite3BtreeCursorHintFlags,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000004,stale,catalog_metadata,btree.c,src/btree.c,btree.c,10309,10309,10311,sqlite3BtreeClearTableOfCursor,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000005,stale,storage,btree.c,src/btree.c,btree.c,10418,10418,10424,releasePage,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000006,stale,storage,btree.c,src/btree.c,btree.c,10447,10447,10471,sqlite3BtreeGetMeta,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000007,stale,type_system,btree.c,src/btree.c,btree.c,10477,10477,10499,sqlite3BtreeUpdateMeta,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000008,stale,storage,btree.c,src/btree.c,btree.c,10509,10509,10572,encountered,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000009,stale,storage,btree.c,src/btree.c,btree.c,10578,10578,10580,sqlite3BtreePager,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000010,stale,storage,btree.c,src/btree.c,btree.c,11146,11141,11151,,window,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000011,stale,storage,btree.c,src/btree.c,btree.c,11304,11304,11307,sqlite3BtreeGetFilename,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000012,stale,storage,btree.c,src/btree.c,btree.c,11317,11317,11320,sqlite3BtreeGetJournalname,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000013,stale,storage,btree.c,src/btree.c,btree.c,11326,11326,11329,sqlite3BtreeTxnState,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000014,stale,storage,btree.c,src/btree.c,btree.c,11340,11340,11353,sqlite3BtreeCheckpoint,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000015,stale,storage,btree.c,src/btree.c,btree.c,11359,11359,11363,sqlite3BtreeIsInBackup,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000016,stale,storage,btree.c,src/btree.c,btree.c,11385,11385,11395,sqlite3_free,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000017,stale,catalog_metadata,btree.c,src/btree.c,btree.c,11402,11402,11411,sqlite3BtreeSchemaLocked,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000018,stale,catalog_metadata,btree.c,src/btree.c,btree.c,11420,11420,11436,sqlite3BtreeLockTable,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000019,stale,storage,btree.c,src/btree.c,btree.c,11450,11450,11493,sqlite3BtreePutData,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000020,stale,storage,btree.c,src/btree.c,btree.c,11498,11498,11501,sqlite3BtreeIncrblobCursor,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000021,stale,storage,btree.c,src/btree.c,btree.c,11509,11509,11538,sqlite3BtreeSetVersion,function,1
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000022,stale,storage,btree.c,src/btree.c,btree.c,11544,11544,11546,sqlite3BtreeCursorHasHint,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000023,stale,storage,btree.c,src/btree.c,btree.c,11551,11551,11553,sqlite3BtreeIsReadonly,function,0
sqlaser_sqlite354_r1,sqlite,1,sqlite_target_000024,stale,storage,btree.c,src/btree.c,btree.c,11564,11564,11569,sqlite3BtreeClearCache,function,0
