run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
mysql_sqleek_r1,mysql,1,other,SQLeek,228,32,0.14035087719298245,58,18,0.3090909090909091
mysql_sqleek_r1,mysql,1,catalog_metadata,SQLeek,42,3,0.07142857142857142,4,2,0.5
mysql_sqleek_r1,mysql,1,type_system,SQLeek,3786,835,0.22054939249867936,846,319,0.40301724137931033
mysql_sqleek_r1,mysql,1,executor,SQLeek,202,64,0.31683168316831684,7,6,0.6666666666666666
mysql_sqleek_r1,mysql,1,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r1,mysql,1,optimizer,SQLeek,46,15,0.32608695652173914,8,5,0.7142857142857143
mysql_sqleek_r1,mysql,1,cursor_prepared,SQLeek,290,78,0.2689655172413793,5,4,0.5
mysql_sqleek_r1,mysql,1,storage,SQLeek,26,0,0.0,6,0,0.0
mysql_sqleek_r2,mysql,2,other,SQLeek,228,32,0.14035087719298245,58,18,0.3090909090909091
mysql_sqleek_r2,mysql,2,catalog_metadata,SQLeek,42,3,0.07142857142857142,4,2,0.5
mysql_sqleek_r2,mysql,2,type_system,SQLeek,3786,835,0.22054939249867936,846,319,0.40301724137931033
mysql_sqleek_r2,mysql,2,executor,SQLeek,202,64,0.31683168316831684,7,6,0.6666666666666666
mysql_sqleek_r2,mysql,2,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r2,mysql,2,optimizer,SQLeek,46,15,0.32608695652173914,8,5,0.7142857142857143
mysql_sqleek_r2,mysql,2,cursor_prepared,SQLeek,290,78,0.2689655172413793,5,4,0.5
mysql_sqleek_r2,mysql,2,storage,SQLeek,26,0,0.0,6,0,0.0
mysql_sqleek_r3,mysql,3,other,SQLeek,228,32,0.14035087719298245,58,18,0.3090909090909091
mysql_sqleek_r3,mysql,3,catalog_metadata,SQLeek,42,3,0.07142857142857142,4,2,0.5
mysql_sqleek_r3,mysql,3,type_system,SQLeek,3786,835,0.22054939249867936,846,319,0.40301724137931033
mysql_sqleek_r3,mysql,3,executor,SQLeek,202,64,0.31683168316831684,7,6,0.6666666666666666
mysql_sqleek_r3,mysql,3,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r3,mysql,3,optimizer,SQLeek,46,15,0.32608695652173914,8,5,0.7142857142857143
mysql_sqleek_r3,mysql,3,cursor_prepared,SQLeek,290,78,0.2689655172413793,5,4,0.5
mysql_sqleek_r3,mysql,3,storage,SQLeek,26,0,0.0,6,0,0.0
mysql_sqleek_r4,mysql,4,other,SQLeek,228,32,0.14035087719298245,58,18,0.3090909090909091
mysql_sqleek_r4,mysql,4,catalog_metadata,SQLeek,42,3,0.07142857142857142,4,2,0.5
mysql_sqleek_r4,mysql,4,type_system,SQLeek,3786,835,0.22054939249867936,846,319,0.40301724137931033
mysql_sqleek_r4,mysql,4,executor,SQLeek,202,64,0.31683168316831684,7,6,0.6666666666666666
mysql_sqleek_r4,mysql,4,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r4,mysql,4,optimizer,SQLeek,46,15,0.32608695652173914,8,5,0.7142857142857143
mysql_sqleek_r4,mysql,4,cursor_prepared,SQLeek,290,78,0.2689655172413793,5,4,0.5
mysql_sqleek_r4,mysql,4,storage,SQLeek,26,0,0.0,6,0,0.0
mysql_sqleek_r5,mysql,5,other,SQLeek,228,32,0.14035087719298245,58,18,0.3090909090909091
mysql_sqleek_r5,mysql,5,catalog_metadata,SQLeek,42,3,0.07142857142857142,4,2,0.5
mysql_sqleek_r5,mysql,5,type_system,SQLeek,3786,835,0.22054939249867936,846,319,0.40301724137931033
mysql_sqleek_r5,mysql,5,executor,SQLeek,202,64,0.31683168316831684,7,6,0.6666666666666666
mysql_sqleek_r5,mysql,5,parser,SQLeek,18,10,0.5555555555555556,3,3,1.0
mysql_sqleek_r5,mysql,5,optimizer,SQLeek,46,15,0.32608695652173914,8,5,0.7142857142857143
mysql_sqleek_r5,mysql,5,cursor_prepared,SQLeek,290,78,0.2689655172413793,5,4,0.5
mysql_sqleek_r5,mysql,5,storage,SQLeek,26,0,0.0,6,0,0.0
