run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
sqlite_sqleek_r1,sqlite,1,executor,SQLeek,1050,734,0.699047619047619,255,225,0.8867924528301887
sqlite_sqleek_r1,sqlite,1,other,SQLeek,764,684,0.8952879581151832,80,79,0.9791666666666666
sqlite_sqleek_r1,sqlite,1,storage,SQLeek,500,367,0.734,62,60,0.975
sqlite_sqleek_r1,sqlite,1,type_system,SQLeek,54,47,0.8703703703703703,8,8,1.0
sqlite_sqleek_r1,sqlite,1,optimizer,SQLeek,434,374,0.8617511520737328,32,32,1.0
sqlite_sqleek_r1,sqlite,1,catalog_metadata,SQLeek,6,4,0.6666666666666666,6,6,1.0
sqlite_sqleek_r2,sqlite,2,executor,SQLeek,1050,733,0.6980952380952381,255,225,0.8867924528301887
sqlite_sqleek_r2,sqlite,2,other,SQLeek,764,683,0.893979057591623,80,79,0.9791666666666666
sqlite_sqleek_r2,sqlite,2,storage,SQLeek,500,367,0.734,62,60,0.975
sqlite_sqleek_r2,sqlite,2,type_system,SQLeek,54,44,0.8148148148148148,8,8,1.0
sqlite_sqleek_r2,sqlite,2,optimizer,SQLeek,434,374,0.8617511520737328,32,32,1.0
sqlite_sqleek_r2,sqlite,2,catalog_metadata,SQLeek,6,4,0.6666666666666666,6,6,1.0
sqlite_sqleek_r3,sqlite,3,executor,SQLeek,1050,732,0.6971428571428572,255,225,0.8867924528301887
sqlite_sqleek_r3,sqlite,3,other,SQLeek,764,688,0.900523560209424,80,79,0.9791666666666666
sqlite_sqleek_r3,sqlite,3,storage,SQLeek,500,367,0.734,62,60,0.975
sqlite_sqleek_r3,sqlite,3,type_system,SQLeek,54,43,0.7962962962962963,8,8,1.0
sqlite_sqleek_r3,sqlite,3,optimizer,SQLeek,434,371,0.8548387096774194,32,32,1.0
sqlite_sqleek_r3,sqlite,3,catalog_metadata,SQLeek,6,4,0.6666666666666666,6,6,1.0
sqlite_sqleek_r4,sqlite,4,executor,SQLeek,1050,734,0.699047619047619,255,225,0.8867924528301887
sqlite_sqleek_r4,sqlite,4,other,SQLeek,764,683,0.893979057591623,80,79,0.9791666666666666
sqlite_sqleek_r4,sqlite,4,storage,SQLeek,500,367,0.734,62,60,0.975
sqlite_sqleek_r4,sqlite,4,type_system,SQLeek,54,42,0.7777777777777778,8,8,1.0
sqlite_sqleek_r4,sqlite,4,optimizer,SQLeek,434,369,0.8502304147465438,32,32,1.0
sqlite_sqleek_r4,sqlite,4,catalog_metadata,SQLeek,6,4,0.6666666666666666,6,6,1.0
