region_id,dbms,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source
mariadb_target_000001,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,10279,10274,10284,,window
mariadb_target_000002,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,10309,10304,10314,,window
mariadb_target_000003,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,10326,10321,10331,,window
mariadb_target_000004,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,1141,1136,1146,,window
mariadb_target_000005,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,11721,11716,11726,,window
mariadb_target_000006,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,11774,11769,11779,,window
mariadb_target_000007,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,11786,11781,11791,,window
mariadb_target_000008,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2239,2234,2244,,window
mariadb_target_000009,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2349,2344,2354,,window
mariadb_target_000010,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2476,2471,2481,,window
mariadb_target_000011,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2513,2508,2518,,window
mariadb_target_000012,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2675,2670,2680,,window
mariadb_target_000013,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,2954,2949,2959,,window
mariadb_target_000014,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3394,3389,3399,,window
mariadb_target_000015,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3402,3397,3407,,window
mariadb_target_000016,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3412,3407,3417,,window
mariadb_target_000017,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3657,3652,3662,,window
mariadb_target_000018,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3742,3737,3747,,window
mariadb_target_000019,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3767,3762,3772,,window
mariadb_target_000020,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,3803,3798,3808,,window
mariadb_target_000021,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4135,4130,4140,,window
mariadb_target_000022,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4298,4293,4303,,window
mariadb_target_000023,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4468,4463,4473,,window
mariadb_target_000024,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4651,4646,4656,,window
mariadb_target_000025,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4662,4657,4667,,window
mariadb_target_000026,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4791,4786,4796,,window
mariadb_target_000027,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,4931,4926,4936,,window
mariadb_target_000028,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,5211,5206,5216,,window
mariadb_target_000029,mariadb,stale,type_system,field.cc,sql/field.cc,field.cc,5266,5261,5271,,window
