tool,dbms,total_run_rows,real_completed_runs,real_repeat_ids,status_counts,excluded_input_rows,unsupported_rows,ready_for_strict_5x24,notes
SQLeek,PostgreSQL,1,1,1,completed:1,0,0,no,partial_real_repeats
SQLeek,MySQL,1,1,1,completed:1,0,0,no,partial_real_repeats
SQLeek,MariaDB,2,2,1;2,completed:2,0,0,no,partial_real_repeats
SQLeek,MonetDB,5,5,1;2;3;4;5,completed:5,0,0,yes,
SQLeek,SQLite,4,4,1;2;3;4,completed:4,0,0,no,partial_real_repeats
SQLancer,PostgreSQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
SQLancer,MySQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
SQLancer,MariaDB,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
SQLancer,MonetDB,5,0,,unsupported:5,0,5,no,unsupported_rows_present
SQLancer,SQLite,1,1,1,completed:1,0,0,no,partial_real_repeats
SQUIRREL,PostgreSQL,5,5,1;2;3;4;5,completed:5,0,0,yes,
SQUIRREL,MySQL,4,4,1;2;3;4,completed:4,0,0,no,partial_real_repeats
SQUIRREL,MariaDB,1,1,1,completed:1,0,0,no,partial_real_repeats
SQUIRREL,MonetDB,5,0,,unsupported:5,0,5,no,unsupported_rows_present
SQUIRREL,SQLite,5,5,1;2;3;4;5,completed:5,0,0,yes,
Griffin,PostgreSQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
Griffin,MySQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
Griffin,MariaDB,1,1,2,completed:1,0,0,no,partial_real_repeats
Griffin,MonetDB,1,1,1,completed:1,0,0,no,partial_real_repeats
Griffin,SQLite,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
DynSQL,PostgreSQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
DynSQL,MySQL,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
DynSQL,MariaDB,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
DynSQL,MonetDB,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
DynSQL,SQLite,5,0,,excluded:5,5,0,no,excluded_input_rows;partial_real_repeats
AFLGo,PostgreSQL,1,1,1,completed:1,0,0,no,partial_real_repeats
AFLGo,MySQL,1,1,1,completed:1,0,0,no,partial_real_repeats
AFLGo,MariaDB,1,1,1,completed:1,0,0,no,partial_real_repeats
AFLGo,MonetDB,1,1,1,completed:1,0,0,no,partial_real_repeats
AFLGo,SQLite,1,1,1,completed:1,0,0,no,partial_real_repeats
SQLaser,PostgreSQL,1,1,1,completed:1,0,0,no,partial_real_repeats
SQLaser,MySQL,4,4,1;3;4;5,completed:4,0,0,no,partial_real_repeats
SQLaser,MariaDB,5,0,,unsupported:5,0,5,no,unsupported_rows_present
SQLaser,MonetDB,5,0,,unsupported:5,0,5,no,unsupported_rows_present
SQLaser,SQLite,5,5,1;2;3;4;5,completed:5,0,0,yes,
