dbms,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
MySQL,parser,SQLeek,18.0,12.0,0.6666666666666666,3.0,3.0,1.0
MariaDB,parser,SQLeek,64,53.5,0.8359375,5,5.0,1.0
MonetDB,parser,SQLeek,148.0,23.0,0.1554054054054054,4.0,3.0,0.75
MySQL,parser,SQLaser,18.0,14.0,0.7777777777777778,3.0,3.0,1.0
MySQL,parser,AFLGo,18.0,10.0,0.5555555555555556,3.0,3.0,1.0
MariaDB,parser,AFLGo,64.0,40.0,0.625,5.0,5.0,1.0
MonetDB,parser,AFLGo,148.0,20.0,0.1351351351351351,4.0,3.0,0.75
MariaDB,parser,Griffin,64.0,48.0,0.75,5.0,5.0,1.0
MonetDB,parser,Griffin,148.0,21.0,0.1418918918918918,4.0,3.0,0.75
MySQL,parser,SQUIRREL,18.0,10.0,0.5555555555555556,3.0,3.0,1.0
MariaDB,parser,SQUIRREL,64.0,48.0,0.75,5.0,5.0,1.0
MySQL,optimizer,SQLeek,46.0,36.0,0.782608695652174,8.0,8.0,1.0
MariaDB,optimizer,SQLeek,170,116.0,0.6823529411764706,32,30.5,0.95
MonetDB,optimizer,SQLeek,9324.0,5741.4,0.6157657657657657,1276.0,1148.2,0.900314465408805
SQLite,optimizer,SQLeek,434.0,372.0,0.8571428571428571,32.0,32.0,1.0
MySQL,optimizer,SQLaser,46.0,33.75,0.7336956521739131,8.0,8.0,1.0
SQLite,optimizer,SQLaser,434.0,374.0,0.8617511520737328,32.0,32.0,1.0
MySQL,optimizer,AFLGo,46.0,16.0,0.3478260869565217,8.0,5.0,0.5714285714285714
MariaDB,optimizer,AFLGo,160.0,54.0,0.3375,31.0,26.0,0.8275862068965517
MonetDB,optimizer,AFLGo,9324.0,2951.0,0.3164950664950665,1276.0,813.0,0.6375786163522013
SQLite,optimizer,AFLGo,434.0,255.0,0.5875576036866359,32.0,28.0,0.8421052631578947
MariaDB,optimizer,Griffin,170.0,82.0,0.4823529411764706,32.0,28.0,0.8666666666666667
MonetDB,optimizer,Griffin,9324.0,4973.0,0.5333547833547834,1276.0,1121.0,0.8789308176100629
MySQL,optimizer,SQUIRREL,46.0,12.75,0.2771739130434782,8.0,4.75,0.5357142857142857
MariaDB,optimizer,SQUIRREL,170.0,69.0,0.4058823529411764,32.0,26.0,0.8333333333333334
SQLite,optimizer,SQUIRREL,434.0,307.6,0.7087557603686636,32.0,31.6,0.9789473684210528
SQLite,optimizer,SQLancer,434.0,243.0,0.5599078341013825,32.0,28.0,0.8421052631578947
PostgreSQL,executor,SQLeek,2.0,1.0,0.5,2.0,2.0,1.0
MySQL,executor,SQLeek,202.0,97.0,0.4801980198019802,7.0,6.0,0.6666666666666666
MariaDB,executor,SQLeek,2,0.0,0.0,1,0.0,0.0
MonetDB,executor,SQLeek,5128.0,484.6,0.0945007800312012,91.0,57.0,0.6263736263736264
SQLite,executor,SQLeek,1050.0,733.25,0.6983333333333334,255.0,225.0,0.8867924528301887
PostgreSQL,executor,SQLaser,800.0,0.0,0.0,421.3043478260869,0.0,0.0
MySQL,executor,SQLaser,202.0,98.75,0.4888613861386138,7.0,7.0,1.0
SQLite,executor,SQLaser,1050.0,648.8,0.6179047619047618,255.0,216.4,0.8490566037735849
PostgreSQL,executor,AFLGo,8.0,0.0,0.0,4.0,0.0,0.0
MySQL,executor,AFLGo,202.0,65.0,0.3217821782178218,7.0,6.0,0.6666666666666666
MonetDB,executor,AFLGo,5128.0,130.0,0.0253510140405616,91.0,36.0,0.3956043956043956
SQLite,executor,AFLGo,1050.0,554.0,0.5276190476190477,255.0,213.0,0.8301886792452831
MariaDB,executor,Griffin,2.0,0.0,0.0,1.0,0.0,0.0
MonetDB,executor,Griffin,5128.0,436.0,0.0850234009360374,91.0,63.0,0.6923076923076923
PostgreSQL,executor,SQUIRREL,8.0,1.0,0.125,4.0,2.0,0.6666666666666666
MySQL,executor,SQUIRREL,202.0,74.75,0.370049504950495,7.0,6.0,0.6666666666666666
MariaDB,executor,SQUIRREL,2.0,0.0,0.0,1.0,0.0,0.0
SQLite,executor,SQUIRREL,1050.0,564.8,0.5379047619047619,255.0,214.4,0.8276729559748428
SQLite,executor,SQLancer,1050.0,493.0,0.4695238095238095,255.0,200.0,0.7672955974842768
PostgreSQL,type system,SQLeek,4.0,3.0,0.75,6.0,6.0,1.0
MySQL,type system,SQLeek,3786.0,2222.0,0.5868991019545695,846.0,633.0,0.7629310344827587
MariaDB,type system,SQLeek,2206,1056.5,0.47892112420670896,996,677.0,0.68384697130712
MonetDB,type system,SQLeek,3550.0,1460.6,0.4114366197183098,166.0,151.0,0.9294871794871796
SQLite,type system,SQLeek,54.0,44.0,0.8148148148148148,8.0,8.0,1.0
PostgreSQL,type system,SQLaser,400.0,0.0,0.0,631.9565217391304,0.0,0.0
MySQL,type system,SQLaser,3786.0,1798.5,0.475039619651347,846.0,553.25,0.6831896551724138
SQLite,type system,SQLaser,54.0,38.6,0.7148148148148148,8.0,8.0,1.0
PostgreSQL,type system,AFLGo,4.0,0.0,0.0,6.0,0.0,0.0
MySQL,type system,AFLGo,3786.0,946.0,0.2498679344955097,846.0,326.0,0.418103448275862
MariaDB,type system,AFLGo,2100.0,348.0,0.1657142857142857,965.0,266.0,0.2854006586169045
MonetDB,type system,AFLGo,3550.0,535.0,0.1507042253521126,166.0,88.0,0.5641025641025641
SQLite,type system,AFLGo,54.0,27.0,0.5,8.0,8.0,1.0
MariaDB,type system,Griffin,2206.0,626.0,0.2837715321849501,996.0,443.0,0.4505844845908608
MonetDB,type system,Griffin,3550.0,1097.0,0.3090140845070422,166.0,150.0,0.9230769230769232
PostgreSQL,type system,SQUIRREL,4.0,3.0,0.75,6.0,6.0,1.0
MySQL,type system,SQUIRREL,3786.0,1056.25,0.2789883782356048,846.0,341.5,0.4536637931034483
MariaDB,type system,SQUIRREL,2206.0,542.0,0.2456935630099728,996.0,392.0,0.4017003188097768
SQLite,type system,SQUIRREL,54.0,17.4,0.3222222222222222,8.0,6.8,0.85
SQLite,type system,SQLancer,54.0,6.0,0.1111111111111111,8.0,6.0,0.75
MySQL,catalog/metadata,SQLeek,42.0,8.0,0.1904761904761904,4.0,3.0,0.75
MariaDB,catalog/metadata,SQLeek,56,26.0,0.4642857142857143,31,14.0,0.45161290322580644
MonetDB,catalog/metadata,SQLeek,2148.0,1411.6,0.657169459962756,271.0,232.0,0.8538461538461538
SQLite,catalog/metadata,SQLeek,6.0,4.0,0.6666666666666666,6.0,6.0,1.0
MySQL,catalog/metadata,SQLaser,42.0,8.5,0.2023809523809523,4.0,3.0,0.75
SQLite,catalog/metadata,SQLaser,6.0,5.0,0.8333333333333334,6.0,6.0,1.0
MySQL,catalog/metadata,AFLGo,42.0,6.0,0.1428571428571428,4.0,3.0,0.75
MariaDB,catalog/metadata,AFLGo,46.0,14.0,0.3043478260869565,29.0,8.0,0.2758620689655172
MonetDB,catalog/metadata,AFLGo,2148.0,679.0,0.3161080074487896,271.0,158.0,0.5961538461538461
SQLite,catalog/metadata,AFLGo,6.0,3.0,0.5,6.0,6.0,1.0
MariaDB,catalog/metadata,Griffin,56.0,17.0,0.3035714285714285,31.0,9.0,0.2903225806451613
MonetDB,catalog/metadata,Griffin,2148.0,1349.0,0.6280260707635009,271.0,230.0,0.8461538461538461
MySQL,catalog/metadata,SQUIRREL,42.0,5.0,0.119047619047619,4.0,3.0,0.75
MariaDB,catalog/metadata,SQUIRREL,56.0,14.0,0.25,31.0,8.0,0.2580645161290322
SQLite,catalog/metadata,SQUIRREL,6.0,4.0,0.6666666666666666,6.0,6.0,1.0
SQLite,catalog/metadata,SQLancer,6.0,4.0,0.6666666666666666,6.0,6.0,1.0
PostgreSQL,storage,SQLeek,6.0,0.0,0.0,4.0,0.0,0.0
MySQL,storage,SQLeek,26.0,9.0,0.3461538461538461,6.0,4.0,0.6
MariaDB,storage,SQLeek,4,1.0,0.25,1,1.0,1.0
MonetDB,storage,SQLeek,696.0,154.0,0.2212643678160919,219.0,127.0,0.5779816513761468
SQLite,storage,SQLeek,500.0,367.0,0.734,62.0,60.0,0.975
PostgreSQL,storage,SQLaser,600.0,0.0,0.0,421.3043478260869,0.0,0.0
MySQL,storage,SQLaser,26.0,6.0,0.2307692307692307,6.0,2.5,0.45
SQLite,storage,SQLaser,500.0,299.0,0.598,62.0,57.2,0.92
PostgreSQL,storage,AFLGo,6.0,0.0,0.0,4.0,0.0,0.0
MySQL,storage,AFLGo,26.0,5.0,0.1923076923076923,6.0,2.0,0.4
MonetDB,storage,AFLGo,696.0,92.0,0.132183908045977,219.0,91.0,0.4174311926605504
SQLite,storage,AFLGo,500.0,192.0,0.384,62.0,41.0,0.675
MariaDB,storage,Griffin,4.0,1.0,0.25,1.0,1.0,1.0
MonetDB,storage,Griffin,696.0,154.0,0.2212643678160919,219.0,127.0,0.5779816513761468
PostgreSQL,storage,SQUIRREL,6.0,0.0,0.0,4.0,0.0,0.0
MySQL,storage,SQUIRREL,26.0,2.0,0.0769230769230769,6.0,1.0,0.2
MariaDB,storage,SQUIRREL,4.0,1.0,0.25,1.0,1.0,1.0
SQLite,storage,SQUIRREL,500.0,195.0,0.39,62.0,46.6,0.725
SQLite,storage,SQLancer,500.0,146.0,0.292,62.0,33.0,0.525
MySQL,cursor/prepared stmt,SQLeek,290.0,205.0,0.7068965517241379,5.0,5.0,1.0
MariaDB,cursor/prepared stmt,SQLeek,214,157.0,0.7336448598130841,3,1.0,0.3333333333333333
MonetDB,cursor/prepared stmt,SQLeek,216.0,126.6,0.5861111111111111,5.0,3.0,0.75
MySQL,cursor/prepared stmt,SQLaser,290.0,189.5,0.653448275862069,5.0,4.0,0.5
MySQL,cursor/prepared stmt,AFLGo,290.0,98.0,0.3379310344827586,5.0,4.0,0.5
MariaDB,cursor/prepared stmt,AFLGo,204.0,98.0,0.4803921568627451,3.0,1.0,0.3333333333333333
MonetDB,cursor/prepared stmt,AFLGo,216.0,47.0,0.2175925925925926,5.0,2.0,0.5
