run_id,tool,dbms,repeat_id,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate,global_branches_total,global_branches_hit,global_branch_coverage,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
postgresql_sqleek_r1,SQLeek,PostgreSQL,1,3200.0,1400.0,0.4375,4845.0,3370.4347826086955,0.6956521739130435,170620,83577.0,0.4898429258000234,0,
postgresql_sqlaser_r1,SQLaser,PostgreSQL,1,3200.0,200.0,0.0625,4845.0,1239.418604651163,0.2558139534883721,7200,1058.8744519345607,0.1470658961020223,0,
postgresql_aflgo_r1,AFLGo,PostgreSQL,1,3200.0,100.0,0.03125,46.0,8.0,0.1627906976744186,249514,20768.0,0.0832338065198746,0,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,3200.0,600.0,0.1875,4845.0,3042.2093023255816,0.627906976744186,249514,60855.0,0.2438941301890876,3600,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,3200.0,600.0,0.1875,4845.0,3042.2093023255816,0.627906976744186,249514,60228.0,0.2413812451405532,3600,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,3200.0,700.0,0.21875,4845.0,3267.558139534884,0.6744186046511629,249514,59131.0,0.2369846982534046,3600,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,3200.0,700.0,0.21875,4845.0,3267.558139534884,0.6744186046511629,249514,59570.0,0.2387441185664932,3600,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,3200.0,700.0,0.21875,4845.0,3267.558139534884,0.6744186046511629,249514,60893.0,0.2440464262526351,3600,
mysql_sqleek_full_r1,SQLeek,MySQL,1,4602.0,2649.0,0.575619295958279,1445.0,949.0,0.6874189364461738,326944,125974.0,0.3853075756092786,3600,18000.0
mysql_sqlaser_r1,SQLaser,MySQL,1,4602.0,2161.0,0.4695784441547153,1445.0,807.0,0.5953307392996109,326944,107970.0,0.3302400411079573,0,
mysql_sqlaser_r3,SQLaser,MySQL,3,4602.0,2242.0,0.4871794871794871,1445.0,839.0,0.6095979247730221,326944,107366.0,0.328392629930508,0,
mysql_sqlaser_r4,SQLaser,MySQL,4,4602.0,2206.0,0.4793568013906997,1445.0,838.0,0.6160830090791181,326944,106167.0,0.3247253352256044,0,
mysql_sqlaser_r5,SQLaser,MySQL,5,4602.0,2172.0,0.4719687092568448,1445.0,809.0,0.5992217898832685,326944,104020.0,0.3181584613878829,0,
mysql_aflgo_r1,AFLGo,MySQL,1,4602.0,1172.0,0.2546718817905258,1445.0,528.0,0.4020752269779507,326944,64229.0,0.1964526035039639,0,
mysql_squirrel_r1,SQUIRREL,MySQL,1,4602.0,1308.0,0.2842242503259452,1445.0,521.0,0.4098573281452659,326944,60130.0,0.1839152882450817,3600,
mysql_squirrel_r2,SQUIRREL,MySQL,2,4602.0,1318.0,0.2863972186006084,1445.0,528.0,0.4150453955901427,326944,59161.0,0.1809514779289419,3600,
mysql_squirrel_r3,SQUIRREL,MySQL,3,4602.0,1263.0,0.2744458930899608,1445.0,519.0,0.4085603112840467,326944,58293.0,0.1782965890183028,3600,
mysql_squirrel_r4,SQUIRREL,MySQL,4,4602.0,1329.0,0.2887874837027379,1445.0,529.0,0.4137483787289234,326944,60238.0,0.184245620045023,3600,
mariadb_sqleek_r1,SQLeek,MariaDB,1,4248,2332,0.5489642184557438,3041,2102,0.7030324154757756,295012,111171,0.37683551855517744,0,18000
mariadb_sqleek_r2,SQLeek,MariaDB,2,4248,2328,0.5480225988700564,3041,2094,0.6995468804461484,295012,112661,0.38188616056296015,0,18000
mariadb_aflgo_r1,AFLGo,MariaDB,1,4002.0,996.0,0.2488755622188905,3041.0,942.0,0.3189264552108748,295012,49753.0,0.1686473770558485,0,
mariadb_griffin_r2,Griffin,MariaDB,2,4248.0,1621.0,0.3815913370998117,3041.0,1452.0,0.4865806901359358,295012,71766.0,0.2432646807587488,3600,
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,4248.0,1410.0,0.3319209039548023,3041.0,1311.0,0.4412687347507842,295012,69344.0,0.2350548452266348,3600,
monetdb_sqleek_r1,SQLeek,MonetDB,1,120042.0,37043.0,0.308583662384832,10233.0,8593.0,0.8414162451651295,301870,97161.0,0.3218637161692119,3600,
monetdb_sqleek_r2,SQLeek,MonetDB,2,120042.0,36832.0,0.3068259442528448,10233.0,8603.0,0.8423088366557572,301870,96791.0,0.3206380229900288,3600,
monetdb_sqleek_r3,SQLeek,MonetDB,3,120042.0,37172.0,0.3096582862664734,10233.0,8617.0,0.8437964891401368,301870,97445.0,0.3228045185013416,3600,
monetdb_sqleek_r4,SQLeek,MonetDB,4,120042.0,36122.0,0.3009113476949734,10233.0,8575.0,0.8397302390161658,301870,95289.0,0.315662371219399,3600,
monetdb_sqleek_r5,SQLeek,MonetDB,5,120042.0,37087.0,0.3089502007630663,10233.0,8596.0,0.8418129524942973,301870,97093.0,0.3216384536389837,3600,
monetdb_aflgo_r1,AFLGo,MonetDB,1,120042.0,12820.0,0.1067959547491711,10233.0,5807.0,0.5708618466726173,301870,35441.0,0.1174048431443999,3600,
monetdb_griffin_r1,Griffin,MonetDB,1,120042.0,26894.0,0.2240382532780193,10233.0,8348.0,0.817812159079639,301870,77893.0,0.2580349156921854,3600,
