tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
AFLGo,MariaDB,0,0.233633,0,0,0,935,0,898,0,0.160702,0,0,0,47409,0
AFLGo,MariaDB,60,0.235882,0,0,0,944,0,903,0,0.164129,0,0,0,48420,0
AFLGo,MariaDB,180,0.236132,0,0,0,945,0,903,0,0.165027,0,0,0,48685,0
AFLGo,MariaDB,300,0.246377,0,0,0,986,0,937,0,0.167353,0,0,0,49371,0
AFLGo,MariaDB,480,0.248876,0,0,0,996,0,942,0,0.168563,0,0,0,49728,0
AFLGo,MariaDB,600,0.248876,0,0,0,996,0,942,0,0.168603,0,0,0,49740,0
AFLGo,MariaDB,720,0.248876,0,0,0,996,0,942,0,0.168603,0,0,0,49740,0
AFLGo,MariaDB,900,0.248876,0,0,0,996,0,942,0,0.168627,0,0,0,49747,0
AFLGo,MariaDB,1200,0.248876,0,0,0,996,0,942,0,0.168647,0,0,0,49753,0
AFLGo,MariaDB,1440,0.248876,0,0,0,996,0,942,0,0.168647,0,0,0,49753,0
AFLGo,MonetDB,60,0.106763,0,0,0,12816,0,5807,0,0.117368,0,0,0,35430,0
AFLGo,MonetDB,180,0.106788,0,0,0,12819,0,5807,0,0.117392,0,0,0,35437,0
AFLGo,MonetDB,300,0.106788,0,0,0,12819,0,5807,0,0.117385,0,0,0,35435,0
AFLGo,MonetDB,480,0.106788,0,0,0,12819,0,5807,0,0.117392,0,0,0,35437,0
AFLGo,MonetDB,600,0.106788,0,0,0,12819,0,5807,0,0.117398,0,0,0,35439,0
AFLGo,MonetDB,720,0.106796,0,0,0,12820,0,5807,0,0.117392,0,0,0,35437,0
AFLGo,MonetDB,900,0.106796,0,0,0,12820,0,5807,0,0.117392,0,0,0,35437,0
AFLGo,MonetDB,1200,0.106796,0,0,0,12820,0,5807,0,0.117398,0,0,0,35439,0
AFLGo,MonetDB,1440,0.106796,0,0,0,12820,0,5807,0,0.117405,0,0,0,35441,0
AFLGo,MySQL,0,0.254672,0,0,0,1172,0,528,0,0.194229,0,0,0,63502,0
AFLGo,MySQL,60,0.254672,0,0,0,1172,0,528,0,0.195896,0,0,0,64047,0
AFLGo,MySQL,180,0.254672,0,0,0,1172,0,528,0,0.196202,0,0,0,64147,0
AFLGo,MySQL,300,0.254672,0,0,0,1172,0,528,0,0.196238,0,0,0,64159,0
AFLGo,MySQL,480,0.254672,0,0,0,1172,0,528,0,0.196257,0,0,0,64165,0
AFLGo,MySQL,600,0.254672,0,0,0,1172,0,528,0,0.196318,0,0,0,64185,0
AFLGo,MySQL,720,0.254672,0,0,0,1172,0,528,0,0.196404,0,0,0,64213,0
AFLGo,MySQL,900,0.254672,0,0,0,1172,0,528,0,0.196431,0,0,0,64222,0
AFLGo,MySQL,1200,0.254672,0,0,0,1172,0,528,0,0.196434,0,0,0,64223,0
AFLGo,MySQL,1440,0.254672,0,0,0,1172,0,528,0,0.196453,0,0,0,64229,0
