tool,dbms,risk_branches_total_mean,risk_branches_total_std,risk_branches_hit_mean,risk_branches_hit_std,target_region_branch_coverage_mean,target_region_branch_coverage_std,risk_targets_total_mean,risk_targets_total_std,risk_targets_hit_mean,risk_targets_hit_std,target_function_hit_rate_mean,target_function_hit_rate_std,global_branches_total_mean,global_branches_total_std,global_branches_hit_mean,global_branches_hit_std,global_branch_coverage_mean,global_branch_coverage_std,time_to_first_risk_target_sec_mean,time_to_first_risk_target_sec_std,time_to_50pct_risk_targets_sec_mean,time_to_50pct_risk_targets_sec_std
SQLeek,PostgreSQL,3200,0,1400,0,0.4375,0,4845,0,3370.434783,0,0.695652,0,170620,0,83577,0,0.489843,0,0,0,,
SQLeek,MySQL,4602,0,2649,0,0.575619,0,1445,0,949,0,0.687419,0,326944,0,125974,0,0.385308,0,3600,0,18000,0
SQLeek,MariaDB,4248,0,2330,2.828427,0.548493,0.000666,3041,0,2098,5.656854,0.70129,0.002465,295012,0,111916,1053.589104,0.379361,0.003571,0,0,18000,0
SQLeek,MonetDB,120042,0,36851.2,426.439562,0.306986,0.003552,10233,0,8596.8,15.303594,0.841813,0.001473,301870,0,96755.8,852.295254,0.320521,0.002823,3600,0,,
SQLeek,SQLite,2808,0,2204.75,4.5,0.785167,0.001603,886,0,652.5,1,0.72993,0.000873,62523.5,1,28107.75,63.231717,0.449555,0.00101,3600,0,3600,0
SQLancer,SQLite,2808,0,1381,0,0.491809,0,886,0,532,0,0.595113,0,62484,0,13693,0,0.219144,0,3600,0,,
SQUIRREL,PostgreSQL,3200,0,660,54.772256,0.20625,0.017116,4845,0,3177.418605,123.428641,0.655814,0.025475,249514,0,60135.4,779.238924,0.24101,0.003123,3600,0,,
SQUIRREL,MySQL,4602,0,1304.5,28.965497,0.283464,0.006294,1445,0,524.25,4.99166,0.411803,0.003088,326944,0,59455.5,913.855021,0.181852,0.002795,3600,0,,
SQUIRREL,MariaDB,4248,0,1410,0,0.331921,0,3041,0,1311,0,0.441269,0,295012,0,69344,0,0.235055,0,3600,0,,
SQUIRREL,SQLite,2808,0,1627.4,34.048495,0.579558,0.012126,886,0,604.6,8.11172,0.6726,0.008241,62536.4,2.19089,19040.6,302.584368,0.304472,0.004837,3600,0,3600,0
Griffin,MariaDB,4248,0,1621,0,0.381591,0,3041,0,1452,0,0.486581,0,295012,0,71766,0,0.243265,0,3600,0,,
Griffin,MonetDB,120042,0,26894,0,0.224038,0,10233,0,8348,0,0.817812,0,301870,0,77893,0,0.258035,0,3600,0,,
AFLGo,PostgreSQL,3200,0,100,0,0.03125,0,46,0,8,0,0.162791,0,249514,0,20768,0,0.083234,0,0,0,,
AFLGo,MySQL,4602,0,1172,0,0.254672,0,1445,0,528,0,0.402075,0,326944,0,64229,0,0.196453,0,0,0,,
AFLGo,MariaDB,4002,0,996,0,0.248876,0,3041,0,942,0,0.318926,0,295012,0,49753,0,0.168647,0,0,0,,
AFLGo,MonetDB,120042,0,12820,0,0.106796,0,10233,0,5807,0,0.570862,0,301870,0,35441,0,0.117405,0,3600,0,,
AFLGo,SQLite,2808,0,1567,0,0.558048,0,886,0,566,0,0.624782,0,62508,0,16410,0,0.262526,0,0,0,3600,0
SQLaser,PostgreSQL,3200,0,200,0,0.0625,0,4845,0,1239.418605,0,0.255814,0,7200,0,1058.874452,0,0.147066,0,0,0,,
SQLaser,MySQL,4602,0,2195.25,36.582099,0.477021,0.007949,1445,0,823.25,17.632829,0.605058,0.009502,326944,0,106380.75,1743.106685,0.325379,0.005332,0,0,,
SQLaser,SQLite,2808,0,1997.6,14.518953,0.711396,0.005171,886,0,639.2,1.095445,0.710995,0.000956,62562.4,2.19089,25125.4,245.615146,0.401605,0.003914,3600,0,3600,0
