run,dedup_line_no,first_seen_hours,bug_id,status,match_confidence,match_score,exact_sql_match,first_frame_hit,first_distinctive_hit,top_distinctive_hit,frame_hits,distinctive_hits,word_jaccard,top_frame_demangled,jira_top_frames,trigger_summary,log_path,dedup_line
r1,1,2.1930555555555555,MDEV-39887,Confirmed,stack_strong,75.52941176470588,False,True,True,True,8,8,0.11764705882352941,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000002_20260629_13h30m53s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000002_20260629_13h30m53s/griffin.log:[force_exit_all] #0 0x57aedbd52a9e (_Z17setup_copy_fieldsP3THDP15TMP_TABLE_PARAM20Bounds_checked_arrayIP4ItemER4ListIS4_ES9_jS9_+0x4fe)
r1,2,8.399444444444445,MDEV-39889,Confirmed,unmatched,24.181818181818183,False,False,False,False,3,3,0.006060606060606061,"sub_select_postjoin_aggr(JOIN*, st_join_table*, bool)",_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000076_20260629_19h43m16s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000076_20260629_19h43m16s/griffin.log:[force_exit_all] #0 0x55adb53511cb (_Z24sub_select_postjoin_aggrP4JOINP13st_join_tableb+0x10b)
r1,3,2.839166666666667,MDEV-39914,Fixed,unmatched,5.2,False,False,False,False,0,0,0.17333333333333334,"my_xpath_lex_scan(my_xpath_st*, my_xpath_lex_st*, char const*, char const*)",String::append|Gis_polygon::simplify|Item_func_simplify::val_str|in_string::set|Item_func_in::fix_in_vector|Type_handler_string_result::Item_func_in_fix_comparator_compatible_types|Item_func_in::fix_length_and_dec|Item_func::fix_fields,INFORMATION_SCHEMA query with ROW_NUMBER and GIS simplify,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000010_20260629_14h09m39s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000010_20260629_14h09m39s/griffin.log:[force_exit_all] #0 0x63bc25ad21b8 (_ZL17my_xpath_lex_scanP11my_xpath_stP15my_xpath_lex_stPKcS4_+0x8)
r1,5,1.8811111111111112,MDEV-39887,Confirmed,weak_review,35.45454545454545,False,False,False,False,4,4,0.11515151515151516,st_select_lex_unit::exec_recursive(),setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000000_20260629_13h12m10s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000000_20260629_13h12m10s/griffin.log:[force_exit_all] #0 0x56509d8714d9 (_ZN18st_select_lex_unit14exec_recursiveEv+0x209)
r1,6,4.292222222222223,MDEV-39914,Fixed,stack_strong,75.36206896551724,False,True,True,True,7,7,0.11206896551724138,"String::append(char const*, unsigned long)",String::append|Gis_polygon::simplify|Item_func_simplify::val_str|in_string::set|Item_func_in::fix_in_vector|Type_handler_string_result::Item_func_in_fix_comparator_compatible_types|Item_func_in::fix_length_and_dec|Item_func::fix_fields,INFORMATION_SCHEMA query with ROW_NUMBER and GIS simplify,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000037_20260629_15h36m50s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000037_20260629_15h36m50s/griffin.log:[force_exit_all] #0 0x5b3caf205182 (_ZN6String6appendEPKcm+0x42)
r1,7,3.3,MDEV-39894,Reported,unmatched,2.9591836734693877,False,False,False,False,0,0,0.09863945578231292,"Item_int::print(String*, enum_query_type)",pthread_kill|raise|abort|__fsetlocking|timer_settime|__default_morecore|malloc|my_malloc,Window aggregate with GIS/JSON set operation,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000031_20260629_14h37m18s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000031_20260629_14h37m18s/griffin.log:[force_exit_all] #0 0x59a218fcf9ea (_ZN8Item_int5printEP6String15enum_query_type+0x4a)
r1,8,4.528611111111111,MDEV-39912,Confirmed,stack_strong,74.71137026239067,False,True,True,True,7,7,0.09037900874635568,Item_field::used_tables() const,Item_field::used_tables|remove_const|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|JOIN::optimize_stage2|st_select_lex::optimize_constant_subqueries|mysql_select,"Recursive CTE with GET_LOCK, LEAST, and XML predicate",/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000041_20260629_15h51m01s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000041_20260629_15h51m01s/griffin.log:[force_exit_all] #0 0x6358f5aa8cb6 (_ZNK10Item_field11used_tablesEv+0x26)
r1,9,22.654722222222222,MDEV-39887,Confirmed,weak_review,36.067796610169495,False,False,False,False,5,5,0.13559322033898305,__nss_database_lookup,setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000188_20260630_09h58m35s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000188_20260630_09h58m35s/griffin.log:[force_exit_all] #0 0x7b00846210ca (__nss_database_lookup+0x28e7a)
r1,10,3.4444444444444446,MDEV-39887,Confirmed,weak_review,35.58565737051793,False,False,False,False,4,4,0.11952191235059761,json_find_path,setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000033_20260629_14h45m58s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000033_20260629_14h45m58s/griffin.log:[force_exit_all] #0 0x59b5f1738c1a (json_find_path+0x4a)
r1,11,6.4725,MDEV-39889,Confirmed,unmatched,24.181268882175228,False,False,False,False,3,3,0.006042296072507553,pthread_kill,_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000054_20260629_17h47m39s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000054_20260629_17h47m39s/griffin.log:[force_exit_all] #0 0x7afccc7ef9fc (pthread_kill+0x12c)
r2,1,7.086111111111111,MDEV-39889,Confirmed,weak_review,32.101351351351354,False,False,False,False,5,5,0.0033783783783783786,"field_conv(Field*, Field*)",_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000569_20260629_18h24m30s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000569_20260629_18h24m30s/griffin.log:[force_exit_all] #0 0x57d09e1156f2 (_Z10field_convP5FieldS0_+0x32)
r2,2,3.131666666666667,MDEV-39887,Confirmed,unmatched,18.356020942408378,False,False,False,False,2,2,0.07853403141361257,"setup_group(THD*, Bounds_checked_array<Item*>, TABLE_LIST*, List<Item>&, List<Item>&, st_order*, bool*, bool)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000100_20260629_14h27m14s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000100_20260629_14h27m14s/griffin.log:[force_exit_all] #0 0x5e0d26675361 (_Z11setup_groupP3THD20Bounds_checked_arrayIP4ItemEP10TABLE_LISTR4ListIS2_ES9_P8st_orderPbb+0xc1)
r2,3,18.622777777777777,MDEV-39884,Confirmed,stack_strong,52.58741258741259,False,True,True,False,4,4,0.019580419580419582,"create_view_field(THD*, TABLE_LIST*, Item**, st_mysql_const_lex_string*)",Item_field::fix_fields|create_view_field|find_field_in_table_ref|find_field_in_tables|Item_direct_view_ref::fix_fields|Item_func::fix_fields|st_select_lex::pushdown_from_having_into_where|JOIN::optimize_inner,Server crash in Item_field::fix_fields with generated SQL query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001064_20260630_05h56m42s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001064_20260630_05h56m42s/griffin.log:[force_exit_all] #0 0x645b810332aa (_Z17create_view_fieldP3THDP10TABLE_LISTPP4ItemP25st_mysql_const_lex_string+0xaa)
r2,4,1.4977777777777779,MDEV-39887,Confirmed,stack_strong,76.67213114754098,False,True,True,True,8,8,0.1557377049180328,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000002_20260629_12h49m12s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000002_20260629_12h49m12s/griffin.log:[force_exit_all] #0 0x5a22e6f6aa9e (_Z17setup_copy_fieldsP3THDP15TMP_TABLE_PARAM20Bounds_checked_arrayIP4ItemER4ListIS4_ES9_jS9_+0x4fe)
