tool,dbms,run,bug_id,first_seen_hours,status,source_run,discovery_time,run_start_time,run_time_hours,log_path,top_frame_demangled,match_confidence,match_score,trigger_summary
SQLeek,MariaDB,r1,MDEV-39887,2.193056,Confirmed,griffin_mariadb_sqleek_rnd1,2026-06-29 13:30:53,2026-06-29 11:19:18,25.508056,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000002_20260629_13h30m53s/griffin.log,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",stack_strong,75.529412,Nested recursive CTE with GIS geohash and window expression
SQLeek,MariaDB,r1,MDEV-39914,4.292222,Fixed,griffin_mariadb_sqleek_rnd1,2026-06-29 15:36:50,2026-06-29 11:19:18,25.508056,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000037_20260629_15h36m50s/griffin.log,"String::append(char const*, unsigned long)",stack_strong,75.362069,INFORMATION_SCHEMA query with ROW_NUMBER and GIS simplify
SQLeek,MariaDB,r1,MDEV-39912,4.528611,Confirmed,griffin_mariadb_sqleek_rnd1,2026-06-29 15:51:01,2026-06-29 11:19:18,25.508056,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000041_20260629_15h51m01s/griffin.log,Item_field::used_tables() const,stack_strong,74.711370,"Recursive CTE with GET_LOCK, LEAST, and XML predicate"
SQLeek,MariaDB,r2,MDEV-39911,1.045556,Fixed,griffin_mariadb_sqleek_rnd2,2026-06-29 12:22:04,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000000_20260629_12h22m04s/griffin.log,pthread_kill,stack_strong,36.744417,ST_CONVEXHULL and ST_SIMPLIFY string concatenation
SQLeek,MariaDB,r2,MDEV-39887,1.497778,Confirmed,griffin_mariadb_sqleek_rnd2,2026-06-29 12:49:12,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000002_20260629_12h49m12s/griffin.log,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",stack_strong,76.672131,Nested recursive CTE with GIS geohash and window expression
SQLeek,MariaDB,r2,MDEV-39914,2.463611,Fixed,griffin_mariadb_sqleek_rnd2,2026-06-29 13:47:09,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000097_20260629_13h47m09s/griffin.log,"String::append(char const*, unsigned long)",stack_strong,77.034965,INFORMATION_SCHEMA query with ROW_NUMBER and GIS simplify
SQLeek,MariaDB,r2,MDEV-39884,3.276389,Confirmed,griffin_mariadb_sqleek_rnd2,2026-06-29 14:35:55,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000163_20260629_14h35m55s/griffin.log,"find_field_in_tables(THD*, Item_ident*, TABLE_LIST*, TABLE_LIST*, List<TABLE_LIST>*, Item**, find_item_error_report_type, bool, bool)",stack_strong,53.983471,Server crash in Item_field::fix_fields with generated SQL query
SQLeek,MariaDB,r2,MDEV-39918,4.269444,Confirmed,griffin_mariadb_sqleek_rnd2,2026-06-29 15:35:30,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000399_20260629_15h35m30s/griffin.log,"execute_degenerate_jtbm_semi_join(THD*, TABLE_LIST*, Item_in_subselect*, List<Item>&)",stack_strong,72.382166,Recursive CTE with geohash time-conversion set operation
SQLeek,MariaDB,r2,MDEV-39896,8.470000,Reported,griffin_mariadb_sqleek_rnd2,2026-06-29 19:47:32,2026-06-29 11:19:20,25.510833,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000681_20260629_19h47m32s/griffin.log,"Item_func_buffer::Transporter::add_edge_buffer(double, double, bool, bool)",stack_strong,74.380952,Recursive CTE with REGEXP_REPLACE and ROW_NUMBER
SQLeek,MariaDB,r3,MDEV-39887,1.567500,Confirmed,griffin_mariadb_sqleek_rnd3,2026-06-29 12:53:26,2026-06-29 11:19:23,10.576944,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd3/logSaved/id_000000_20260629_12h53m26s/griffin.log,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",stack_strong,75.636364,Nested recursive CTE with GIS geohash and window expression
