status,tool,dbms,run,bug_id,first_seen_hours,first_seen_hours_rounded,log_path,validation_file,match_strength,reason,stack_top,stack_excerpt,sql_excerpt
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-015-REL-GET-STATISTICS,0.837500,0.8375,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000000_20260612_11h58m55s/griffin.log,BUG-SQLEEK-MONETDB-015-rel-get-statistics-recursive-cte-not-in-crash.md,exact-top-offset,,[force_exit_all] #0 0x7f361ae1b538 (rel_get_statistics_+0x15f8),[force_exit_all] #0 0x7f361ae1b538 (rel_get_statistics_+0x15f8) | [force_exit_all] #1 0x7f361adef3be (rel_visitor_bu+0x64e) | [force_exit_all] #2 0x7f361adeb4b4 (rel_visitor+0x454) | [force_exit_all] #3 0x7f361adebd1e (rel_visitor_bottomup+0x40e) | [force_exit_all] #4 0x7f361ae19dac (rel_get_statistics+0x4c),"SELECT ( 1 , 2 , 3 ) = ( 1 , 2 , 3 ) ;  SELECT ( 1 , 2 , 3 ) < ( 1 , 2 , 3 ) ;  SELECT NOT ( ( 1 , 2 , 3 ) = ( 1 , 2 , 3 ) ) ;  SELECT ( 1 , 2 , 3 ) IN ( ( 1 ) , ( 2 ) , ( 3 ) ) ;  SELECT ( 1 , 2 , 3 ) IN ( SELECT 1 UNION SELECT 2 UNION SELECT 3 ) ;  SELECT NOT ( ( 1 , 2 , 3 ) = "
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,1.569722,1.569722,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000002_20260612_12h42m51s/griffin.log,BUG-SQLEEK-MONETDB-016-rel-optimize-projections-double-rollup-crash.md,exact-top-offset,,[force_exit_all] #0 0x715439946c1f (rel_optimize_projections_+0x47ef),[force_exit_all] #0 0x715439946c1f (rel_optimize_projections_+0x47ef) | [force_exit_all] #1 0x7154398ee5ef (rel_visitor_td+0x2bf) | [force_exit_all] #2 0x7154398ee9f6 (rel_visitor_td+0x6c6) | [force_exit_all] #3 0x7154398ee9f6 (rel_visitor_td+0x6c6) | [force_exit_all] #4 0x7154398ee9f6 (rel_visitor_td+0x6c6),"SELECT a , b , c FROM ( SELECT 1 AS a , 2 AS b , 3 AS c UNION ALL SELECT 4 AS a , NULL AS b , 6 AS c UNION ALL SELECT 7 AS a , 1.770000 AS b , 9 AS c ) AS t GROUP BY ROLLUP ( a , b ) , ROLLUP ( a , c ) ORDER BY a , 71 + - AVG ( 0.100000 ) + 12 / - - COUNT ( * ) , c LIMIT 99 ;  ch"
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-007-EXP-MATCH-CUBE,7.027500,7.0275,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000016_20260612_18h10m19s/griffin.log,BUG-SQLEEK-MONETDB-007-exp-match-cube-subquery-crash.md,exact-top-function,,[force_exit_all] #0 0x7f7e26ac895d (exp_match+0x3d),[force_exit_all] #0 0x7f7e26ac895d (exp_match+0x3d) | [force_exit_all] #1 0x7f7e26ac8d5c (exps_find_exp+0x5c) | [force_exit_all] #2 0x7f7e26afc82d (rel_unnest_projects+0x20d) | [force_exit_all] #3 0x7f7e26ae93be (rel_visitor_bu+0x64e) | [force_exit_all] #4 0x7f7e26ae90dc (rel_visitor_bu+0x36c),"SELECT * FROM ( SELECT * FROM ( SELECT 1 AS x ) WHERE x IN ( SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , 1 * CASE x * ( CAST( 1 AS REAL ) ) + 1 + 1 + 1 + 1 + 1 + 1 + 1.000000 - ( SELECT CAST( 1 AS CHAR ( 1 ) ) AS x WHERE x LIKE 1.000000 ) + 1 + 1 * x * "
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,8.272778,8.272778,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000017_20260612_19h25m02s/griffin.log,BUG-SQLEEK-MONETDB-008-exp-set-type-nth-value-cube-crash.md,exact-top-offset-exp-visitor-chain,,[force_exit_all] #0 0x7aa098cd78a1 (exp_set_type+0x341),[force_exit_all] #0 0x7aa098cd78a1 (exp_set_type+0x341) | [force_exit_all] #1 0x7aa098cbb9ad (exp_visitor+0xd4d) | [force_exit_all] #2 0x7aa098cbcec7 (rel_exp_visitor+0x8f7) | [force_exit_all] #3 0x7aa098cbcbfc (rel_exp_visitor+0x62c) | [force_exit_all] #4 0x7aa098cbca94 (rel_exp_visitor+0x4c4),SELECT 1 FROM x JOIN x ON CASE WHEN TRUE THEN EXISTS ( SELECT 1 FROM x ) END ;  SELECT x FROM x ;  SELECT nth_value ( ( EXISTS ( SELECT 1 WHERE x > 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 0.100000 + 
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-001-GDK-NTH-RANGE,8.831944,8.831944,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000020_20260612_19h58m35s/griffin.log,BUG-SQLEEK-MONETDB-001-gdkanalyticalnthvalue-range-window-crash.md,exact-top-offset-and-sqlnth-value,,[force_exit_all] #0 0x7c171c6c1535 (GDKanalyticalnthvalue+0x1e45),[force_exit_all] #0 0x7c171c6c1535 (GDKanalyticalnthvalue+0x1e45) | [force_exit_all] #1 0x7c171afcdeff (SQLnth_value+0x6af) | [force_exit_all] #2 0x7c171b4764e0 (runMALsequence+0x1070) | [force_exit_all] #3 0x7c171b47c17f (DFLOWworker+0x44f) | [force_exit_all] #4 0x7c171c41c0c8 (thread_starter+0x328),"SELECT x , nth_value ( 'bug' , 1 ) OVER ( RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW ) , max ( x ) OVER ( ORDER BY x DESC RANGE BETWEEN CURRENT ROW AND 1 FOLLOWING ) FROM ( SELECT sql_div ( 3.400000 , locate ( '5.6' , '0.1.2.3.5.4.5.6.8.5.6.8' , 7 ) ) AS x EXCEPT SELECT 11"
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-017-TAIL-TYPE,10.036389,10.036389,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000022_20260612_21h10m51s/griffin.log,BUG-SQLEEK-MONETDB-017-tail-type-union-order-by-window-aggregate-crash.md,exact-top-offset,,[force_exit_all] #0 0x7f055e34b217 (tail_type+0x67),[force_exit_all] #0 0x7f055e34b217 (tail_type+0x67) | [force_exit_all] #1 0x7f055e35b3c8 (stmt_Nop+0xbf8) | [force_exit_all] #2 0x7f055e35a752 (stmt_unop+0x232) | [force_exit_all] #3 0x7f055e31f00a (subrel_bin+0x9c8a) | [force_exit_all] #4 0x7f055e327a8e (rel2bin_project+0x2ae),"SELECT 1 AS x UNION SELECT 2.200000 ORDER BY x IN ( SELECT - 82 * - 12 * - 27 * CASE WHEN NOT NULL IN ( covar_samp ( 1 , 1 ) OVER ( ) , corr ( 1 , 1 ) OVER ( ) , covar_pop ( 1 , NULL ) OVER ( ) , covar_samp ( 1 , NULL ) OVER ( ORDER BY 2 , 3 , 4 ) , corr ( 1 , NULL ) OVER ( ) ) T"
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-010-EXPS-BIND-COLUMN,10.063056,10.063056,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000024_20260612_21h12m27s/griffin.log,BUG-SQLEEK-MONETDB-010-exps-bind-column-repeated-rollup-crash.md,exact-top-offset,,[force_exit_all] #0 0x727080938e0e (exps_bind_column+0x2ce),[force_exit_all] #0 0x727080938e0e (exps_bind_column+0x2ce) | [force_exit_all] #1 0x727080958650 (name_find_column+0x1d0) | [force_exit_all] #2 0x727080959071 (exp_find_column+0x61) | [force_exit_all] #3 0x7270809863cd (rel_final_optimization_loop_+0xb6d) | [force_exit_all] #4 0x7270809513be (rel_visitor_bu+0x64e),"SELECT 0 , NULL FROM ( SELECT 1 AS x , 2 AS x , 3 AS x UNION SELECT 4 AS x , NULL AS x , 6 AS x UNION SELECT 7 AS x , 8 AS x , 9 AS x ) AS x GROUP BY ROLLUP ( x , x ) , ROLLUP ( x , x ) ORDER BY ROUND ( x , x ) , count ( ( SELECT CASE WHEN EXISTS ( SELECT NULL ) THEN 1 ELSE - 82 "
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-006-EXP-BIN-RECURSIVE-CTE,10.589167,10.589167,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000045_20260612_21h44m01s/griffin.log,BUG-SQLEEK-MONETDB-006-exp-bin-recursive-cte-window-crash.md,exp-bin-rel2bin-stack-match,,[force_exit_all] #0 0x7e866fc4c5f4 (exp_bin+0x5034),[force_exit_all] #0 0x7e866fc4c5f4 (exp_bin+0x5034) | [force_exit_all] #1 0x7e866fc48011 (exp_bin+0xa51) | [force_exit_all] #2 0x7e866fc63be1 (rel2bin_project+0x401) | [force_exit_all] #3 0x7e866fc51cda (subrel_bin+0x95a) | [force_exit_all] #4 0x7e866fc519bb (subrel_bin+0x63b),"CREATE TABLE x ( x INTEGER ) ;  INSERT INTO x VALUES ( 0 ) , ( 1 ) , ( 2 ) , ( 3 ) , ( 4 ) , ( 5 ) , ( 6 ) , ( 7 ) , ( 8 ) , ( 9 ) ;  SELECT * FROM ( SELECT * FROM x ORDER BY x ASC LIMIT 5 ) AS x ;  SELECT * FROM ( SELECT * FROM x ORDER BY x DESC LIMIT 5 ) AS x ;  SELECT * FROM ("
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-011-LIST-APPEND,17.384167,17.384167,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000073_20260613_04h31m43s/griffin.log,BUG-SQLEEK-MONETDB-011-list-append-recursive-cte-groups-window-crash.md,exact-top-offset,,[force_exit_all] #0 0x7928af193a49 (list_append+0x129),[force_exit_all] #0 0x7928af193a49 (list_append+0x129) | [force_exit_all] #1 0x7928af06be32 (rel_unnest_projects+0x812) | [force_exit_all] #2 0x7928af0583be (rel_visitor_bu+0x64e) | [force_exit_all] #3 0x7928af058030 (rel_visitor_bu+0x2c0) | [force_exit_all] #4 0x7928af0580dc (rel_visitor_bu+0x36c),"CREATE TABLE x ( x INTEGER ) ;  INSERT INTO x VALUES ( 0 ) , ( 1 ) , ( 2 ) , ( 3 ) , ( 4 ) , ( 5 ) , ( 6 ) , ( 7 ) , ( 8 ) , ( 9 ) ;  SELECT * FROM ( SELECT * FROM x ORDER BY x ASC LIMIT 5 ) AS x ;  SELECT * FROM ( SELECT * FROM x ORDER BY x DESC LIMIT 5 ) AS x ;  SELECT * FROM ("
counted_feedback_match,SQLeek,MonetDB,r1,MONETDB-005-EXP-BIN-LEAD-NOT-IN,18.823056,18.823056,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd1/logSaved/id_000077_20260613_05h58m03s/griffin.log,BUG-SQLEEK-MONETDB-005-exp-bin-lead-not-in-crash.md,exact-top-offset-exp-bin-chain,,[force_exit_all] #0 0x7e59292ff1cd (exp_bin+0x3c0d),[force_exit_all] #0 0x7e59292ff1cd (exp_bin+0x3c0d) | [force_exit_all] #1 0x7e59292fc011 (exp_bin+0xa51) | [force_exit_all] #2 0x7e5929300354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7e5929300354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7e5929300354 (exp_bin+0x4d94),"SELECT lead ( x ) OVER ( PARTITION BY ( x % 10 ) ) = 0 AS x FROM ( SELECT 1 AS x UNION SELECT 1.500000 AS x UNION SELECT - endsWith ( 'johndoe' , 'doe' ) - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , ( SELECT ( SELECT repeat ( 'a' , 66000 ) ) LIMIT 1 OFFSET 1 ) > ANY ( CASE - ( 0 "
