tool,dbms,run,bug_id,first_seen_hours
SQLeek,MonetDB,r1,MONETDB-015-REL-GET-STATISTICS,0.837500
SQLeek,MonetDB,r1,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,1.569722
SQLeek,MonetDB,r1,MONETDB-007-EXP-MATCH-CUBE,7.027500
SQLeek,MonetDB,r1,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,8.272778
SQLeek,MonetDB,r1,MONETDB-001-GDK-NTH-RANGE,8.831944
SQLeek,MonetDB,r1,MONETDB-017-TAIL-TYPE,10.036389
SQLeek,MonetDB,r1,MONETDB-010-EXPS-BIND-COLUMN,10.063056
SQLeek,MonetDB,r1,MONETDB-006-EXP-BIN-RECURSIVE-CTE,10.589167
SQLeek,MonetDB,r1,MONETDB-011-LIST-APPEND,17.384167
SQLeek,MonetDB,r1,MONETDB-005-EXP-BIN-LEAD-NOT-IN,18.823056
SQLeek,MonetDB,r1,MONETDB-014-REL-EXP-VISITOR,18.825556
SQLeek,MonetDB,r1,MONETDB-003-GDK-NTH-CASE,22.026111
SQLeek,MonetDB,r2,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,2.572222
SQLeek,MonetDB,r2,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,3.525000
SQLeek,MonetDB,r2,MONETDB-017-TAIL-TYPE,6.035556
SQLeek,MonetDB,r2,MONETDB-015-REL-GET-STATISTICS,8.042500
SQLeek,MonetDB,r2,MONETDB-006-EXP-BIN-RECURSIVE-CTE,8.904444
SQLeek,MonetDB,r3,MONETDB-018-ISLIKEOP,0.889722
SQLeek,MonetDB,r3,MONETDB-001-GDK-NTH-RANGE,1.081944
SQLeek,MonetDB,r3,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,1.241944
SQLeek,MonetDB,r3,MONETDB-019-LIST-EMPTY,1.956944
SQLeek,MonetDB,r3,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,3.651389
SQLeek,MonetDB,r3,MONETDB-010-EXPS-BIND-COLUMN,3.900000
SQLeek,MonetDB,r3,MONETDB-017-TAIL-TYPE,5.703056
SQLeek,MonetDB,r3,MONETDB-011-LIST-APPEND,6.697778
SQLeek,MonetDB,r3,MONETDB-007-EXP-MATCH-CUBE,6.785833
SQLeek,MonetDB,r3,MONETDB-009-EXP-VISITOR-ROLLUP-CUBE,11.532500
SQLeek,MonetDB,r3,MONETDB-014-REL-EXP-VISITOR,11.536667
SQLeek,MonetDB,r3,MONETDB-015-REL-GET-STATISTICS,16.756944
SQLeek,MonetDB,r3,MONETDB-006-EXP-BIN-RECURSIVE-CTE,17.620000
SQLeek,MonetDB,r4,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,1.464444
SQLeek,MonetDB,r4,MONETDB-001-GDK-NTH-RANGE,2.889167
SQLeek,MonetDB,r4,MONETDB-011-LIST-APPEND,5.903611
SQLeek,MonetDB,r4,MONETDB-006-EXP-BIN-RECURSIVE-CTE,6.588889
SQLeek,MonetDB,r4,MONETDB-015-REL-GET-STATISTICS,10.215000
SQLeek,MonetDB,r4,MONETDB-019-LIST-EMPTY,12.931389
SQLeek,MonetDB,r4,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,13.009444
SQLeek,MonetDB,r4,MONETDB-014-REL-EXP-VISITOR,13.013889
SQLeek,MonetDB,r4,MONETDB-017-TAIL-TYPE,15.962500
SQLeek,MonetDB,r4,MONETDB-010-EXPS-BIND-COLUMN,22.077222
SQLeek,MonetDB,r5,MONETDB-008-EXP-SET-TYPE-NTH-CUBE,1.914167
SQLeek,MonetDB,r5,MONETDB-016-REL-OPTIMIZE-PROJECTIONS,3.117500
SQLeek,MonetDB,r5,MONETDB-005-EXP-BIN-LEAD-NOT-IN,3.701944
SQLeek,MonetDB,r5,MONETDB-011-LIST-APPEND,3.737500
SQLeek,MonetDB,r5,MONETDB-015-REL-GET-STATISTICS,3.968056
SQLeek,MonetDB,r5,MONETDB-007-EXP-MATCH-CUBE,12.771944
