tool,dbms,run,bug_id,first_seen_hours
SQLeek,MySQL,r1,MY-GIS-CACHED-STR,1.971944
SQLeek,MySQL,r2,MY-REGEXP-AVG-FILESORT,0.877500
SQLeek,MySQL,r2,MY-STR-TO-DATE-ST-X,3.280278
SQLeek,MySQL,r2,MY-GIS-CACHED-STR,6.867500
SQLeek,MySQL,r2,MY-CACHED-DECIMAL-GROUP-BY,10.260278
SQLeek,MySQL,r3,MY-GIS-CACHED-STR,0.965000
SQLeek,MySQL,r3,MY-CACHED-DECIMAL-GROUP-BY,5.856111
SQLeek,MySQL,r3,MY-ST-BUFFER-STRATEGY,10.266111
SQLeek,MySQL,r4,MY-INTERVAL-DECIMAL-CMP,0.907222
SQLeek,MySQL,r4,MY-GIS-CACHED-STR,8.761111
SQLeek,MySQL,r5,MY-REGEXP-AVG-FILESORT,0.958056
SQLeek,MySQL,r5,MY-GIS-CACHED-STR,2.670556
