dbms,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
PostgreSQL,executor,SQLeek-Full,2,1.0,0.5,2.0,2.0,1.0
PostgreSQL,executor,SQLeek-W/O-M1,8,1.0,0.125,4,2.0,0.6666666666666666
PostgreSQL,executor,SQLeek-W/O-M2,2,0.25,0.125,2.0,1.33333333333333,0.666666666666667
PostgreSQL,executor,SQLeek-W/O-M3,2,1.0,0.5,2.0,2.0,1.0
PostgreSQL,other,SQLeek-Full,4,3.0,0.75,4.0,4.0,1.0
PostgreSQL,other,SQLeek-W/O-M1,14,2.25,0.16071428571428573,8,2.5,0.3125
PostgreSQL,other,SQLeek-W/O-M2,4,0.642857142857143,0.160714285714286,4.0,1.25,0.3125
PostgreSQL,other,SQLeek-W/O-M3,4,2.0,0.5,4.0,2.0,0.5
PostgreSQL,storage,SQLeek-Full,6,0.0,0.0,4.0,0.0,0.0
PostgreSQL,storage,SQLeek-W/O-M1,6,0.0,0.0,4,0.0,0.0
PostgreSQL,storage,SQLeek-W/O-M2,6,0,0,4.0,0,0
PostgreSQL,storage,SQLeek-W/O-M3,6,0.0,0.0,4.0,0.0,0.0
PostgreSQL,type system,SQLeek-Full,4,3.0,0.75,6.0,6.0,1.0
PostgreSQL,type system,SQLeek-W/O-M1,4,3.25,0.8125,6,6.0,1.0
PostgreSQL,type system,SQLeek-W/O-M2,4,3,0.75,6.0,6,1
PostgreSQL,type system,SQLeek-W/O-M3,4,3.0,0.75,6.0,6.0,1.0
MySQL,catalog/metadata,SQLeek-Full,42,8.0,0.19047619047619047,4.0,3.0,0.75
MySQL,catalog/metadata,SQLeek-W/O-M1,42,8.6,0.20476190476190476,4,3.0,0.75
MySQL,catalog/metadata,SQLeek-W/O-M2,42,9.0,0.21428571428571427,4,3.0,0.75
MySQL,catalog/metadata,SQLeek-W/O-M3,42,8.0,0.19047619047619047,4.0,3.0,0.75
MySQL,cursor/prepared stmt,SQLeek-Full,290,205.0,0.7068965517241379,5.0,5.0,1.0
MySQL,cursor/prepared stmt,SQLeek-W/O-M1,290,182.6,0.6296551724137931,5,4.0,0.5
MySQL,cursor/prepared stmt,SQLeek-W/O-M2,290,194.6,0.6710344827586207,5,5.0,1.0
MySQL,cursor/prepared stmt,SQLeek-W/O-M3,290,105.5,0.36379310344827587,5.0,5.0,1.0
MySQL,executor,SQLeek-Full,202,97.0,0.4801980198019802,7.0,6.0,0.8571428571428571
MySQL,executor,SQLeek-W/O-M1,206,104.8,0.5087378640776699,9,9.0,1.0
MySQL,executor,SQLeek-W/O-M2,202,97.2,0.4811881188118812,7,7.0,1.0
