run_id,dbms,repeat_id,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
mariadb_sqleek_wo_m1_r1,MariaDB,1,type system,SQLeek-W/O-M1,2206,982,0.44514959202175886,996,637,0.6461211477151966
mariadb_sqleek_wo_m1_r1,MariaDB,1,storage,SQLeek-W/O-M1,4,1,0.25,1,1,1.0
mariadb_sqleek_wo_m1_r1,MariaDB,1,other,SQLeek-W/O-M1,1594,887,0.5564617314930991,415,311,0.75
mariadb_sqleek_wo_m1_r1,MariaDB,1,optimizer,SQLeek-W/O-M1,170,102,0.6,32,29,0.9
mariadb_sqleek_wo_m1_r1,MariaDB,1,executor,SQLeek-W/O-M1,2,0,0.0,1,0,0.0
mariadb_sqleek_wo_m1_r1,MariaDB,1,cursor/prepared stmt,SQLeek-W/O-M1,214,154,0.719626168224299,3,1,0.3333333333333333
mariadb_sqleek_wo_m1_r1,MariaDB,1,parser,SQLeek-W/O-M1,64,51,0.796875,5,5,1.0
mariadb_sqleek_wo_m1_r1,MariaDB,1,catalog/metadata,SQLeek-W/O-M1,56,28,0.5,31,14,0.45161290322580644
mariadb_sqleek_wo_m1_r2,MariaDB,2,type system,SQLeek-W/O-M1,2206,967,0.43834995466908433,996,635,0.6397449521785334
mariadb_sqleek_wo_m1_r2,MariaDB,2,storage,SQLeek-W/O-M1,4,1,0.25,1,1,1.0
mariadb_sqleek_wo_m1_r2,MariaDB,2,other,SQLeek-W/O-M1,1594,885,0.555207026348808,415,309,0.7451456310679612
mariadb_sqleek_wo_m1_r2,MariaDB,2,optimizer,SQLeek-W/O-M1,170,101,0.5941176470588235,32,28,0.8666666666666667
mariadb_sqleek_wo_m1_r2,MariaDB,2,executor,SQLeek-W/O-M1,2,0,0.0,1,0,0.0
mariadb_sqleek_wo_m1_r2,MariaDB,2,cursor/prepared stmt,SQLeek-W/O-M1,214,156,0.7289719626168224,3,1,0.3333333333333333
mariadb_sqleek_wo_m1_r2,MariaDB,2,parser,SQLeek-W/O-M1,64,51,0.796875,5,5,1.0
mariadb_sqleek_wo_m1_r2,MariaDB,2,catalog/metadata,SQLeek-W/O-M1,56,26,0.4642857142857143,31,14,0.45161290322580644
mariadb_sqleek_wo_m1_r3,MariaDB,3,type system,SQLeek-W/O-M1,2206,992,0.4496826835902085,996,636,0.640807651434644
mariadb_sqleek_wo_m1_r3,MariaDB,3,storage,SQLeek-W/O-M1,4,1,0.25,1,1,1.0
mariadb_sqleek_wo_m1_r3,MariaDB,3,other,SQLeek-W/O-M1,1594,888,0.5570890840652447,415,308,0.7427184466019418
mariadb_sqleek_wo_m1_r3,MariaDB,3,optimizer,SQLeek-W/O-M1,170,99,0.5823529411764706,32,29,0.9
mariadb_sqleek_wo_m1_r3,MariaDB,3,executor,SQLeek-W/O-M1,2,0,0.0,1,0,0.0
mariadb_sqleek_wo_m1_r3,MariaDB,3,cursor/prepared stmt,SQLeek-W/O-M1,214,153,0.7149532710280374,3,1,0.3333333333333333
mariadb_sqleek_wo_m1_r3,MariaDB,3,parser,SQLeek-W/O-M1,64,52,0.8125,5,5,1.0
mariadb_sqleek_wo_m1_r3,MariaDB,3,catalog/metadata,SQLeek-W/O-M1,56,28,0.5,31,14,0.45161290322580644
mariadb_sqleek_wo_m1_r4,MariaDB,4,type system,SQLeek-W/O-M1,2206,949,0.4301903898458749,996,617,0.6216790648246546
mariadb_sqleek_wo_m1_r4,MariaDB,4,storage,SQLeek-W/O-M1,4,1,0.25,1,1,1.0
mariadb_sqleek_wo_m1_r4,MariaDB,4,other,SQLeek-W/O-M1,1594,890,0.5583437892095358,415,308,0.7427184466019418
mariadb_sqleek_wo_m1_r4,MariaDB,4,optimizer,SQLeek-W/O-M1,170,101,0.5941176470588235,32,28,0.8666666666666667
mariadb_sqleek_wo_m1_r4,MariaDB,4,executor,SQLeek-W/O-M1,2,0,0.0,1,0,0.0
