run_id,tool,dbms,repeat_id,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate,global_branches_total,global_branches_hit,global_branch_coverage,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
postgresql_sqleek_full_r1,SQLeek-Full,PostgreSQL,1,3200.0,1400.0,0.4375,4845.0,3370.4347826086955,0.6956521739130435,170620.0,83577.0,0.4898429258000234,0,
mysql_sqleek_full_r1,SQLeek-Full,MySQL,1,4602.0,2649.0,0.575619295958279,1445.0,949.0,0.6567474048442906,326944.0,125974.0,0.38530757560927864,3600,18000.0
mariadb_sqleek_full_r1,SQLeek-Full,MariaDB,1,4248,2332,0.5489642184557438,3041,2102,0.691219993423216,295012,111171,0.37683551855517744,0,18000
mariadb_sqleek_full_r2,SQLeek-Full,MariaDB,2,4248,2328,0.5480225988700564,3041,2094,0.6885892798421572,295012,112661,0.38188616056296015,0,18000
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,120042.0,37043.0,0.308583662384832,10233.0,8593.0,0.839734193296199,301870,97161.0,0.3218637161692119,3600,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,120042.0,36832.0,0.3068259442528448,10233.0,8603.0,0.84071142382488,301870,96791.0,0.3206380229900288,3600,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,120042.0,37172.0,0.3096582862664734,10233.0,8617.0,0.842079546565035,301870,97445.0,0.3228045185013416,3600,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,120042.0,36122.0,0.3009113476949734,10233.0,8575.0,0.837975178344571,301870,95289.0,0.315662371219399,3600,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,120042.0,37087.0,0.3089502007630663,10233.0,8596.0,0.840027362454803,301870,97093.0,0.3216384536389837,3600,
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,3200,600,0.1875,4845,2738.47826086956502,0.5813953488372093,170620,52110.373445978984819,0.3054177320711463,3600,
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,3200,800,0.25,4845,2949.130434782608972,0.627906976744186,170620,55376.930593072931515,0.32456295037553,3600,
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,3200,600,0.1875,4845,2738.47826086956502,0.5813953488372093,170620,51367.072709346968622,0.30106126309545755,3600,
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,3200,600,0.1875,4845,2738.47826086956502,0.5813953488372093,170620,44370.335692586384539,0.2600535440897104,3600,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,4602,1714.35022865853648,0.3725228658536585,1445,749,0.5395590142671854,326944,85621.48240522458218,0.26188424441257396,3600,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,4602,2194.017530487804834,0.4767530487804878,1445,922,0.6575875486381323,326944,109093.358118463904248,0.33367597545287236,3600,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,4602,2151.926067073170543,0.46760670731707316,1445,878,0.6044098573281452,326944,107359.657177326531382,0.32837322959689286,3600,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,4602,2253.647103658536253,0.4897103658536585,1445,905,0.6459143968871596,326944,110956.86023279147048,0.339375734782689,3600,
mysql_sqleek_wo_m1_r5,SQLeek-W/O-M1,MySQL,5,4602,2200.155868902439124,0.47808689024390244,1445,904,0.6446173800259404,326944,108436.302567353792256,0.3316662870930612,3600,
mariadb_sqleek_wo_m1_r1,SQLeek-W/O-M1,MariaDB,1,4248,2167,0.5101224105461394,3041,1975,0.6639944231439526,295012,99891,0.33859978577142624,0,86400
mariadb_sqleek_wo_m1_r2,SQLeek-W/O-M1,MariaDB,2,4248,2151,0.5063559322033898,3041,1969,0.6601603346113628,295012,99145,0.3360710750749122,0,86400
mariadb_sqleek_wo_m1_r3,SQLeek-W/O-M1,MariaDB,3,4248,2177,0.5124764595103578,3041,1968,0.658766120599512,295012,99619,0.3376777893780592,0,72000
mariadb_sqleek_wo_m1_r4,SQLeek-W/O-M1,MariaDB,4,4248,2138,0.5032956685499058,3041,1937,0.6490066225165563,295012,99168,0.33614903800523366,0,86400
mariadb_sqleek_wo_m1_r5,SQLeek-W/O-M1,MariaDB,5,4248,2166,0.5098870056497176,3041,1963,0.6594632276054374,295012,100014,0.339016717964015,0,72000
monetdb_sqleek_wo_m1_r1,SQLeek-W/O-M1,MonetDB,1,120042,9977,0.08311257726462405,10233,4879,0.47991669146087473,301870,27738,0.09188723622751516,3600,
monetdb_sqleek_wo_m1_r2,SQLeek-W/O-M1,MonetDB,2,120042,10857,0.09044334482930974,10233,5311,0.5222651988495487,301870,31140,0.10315698810746347,3600,
monetdb_sqleek_wo_m1_r3,SQLeek-W/O-M1,MonetDB,3,120042,11038,0.0919511504306826,10233,5379,0.5289100466131111,301870,31624,0.10476032729320568,3600,
monetdb_sqleek_wo_m1_r4,SQLeek-W/O-M1,MonetDB,4,120042,10897,0.09077656153679546,10233,5325,0.5236536745016365,301870,31192,0.10332924768940273,3600,
monetdb_sqleek_wo_m1_r5,SQLeek-W/O-M1,MonetDB,5,120042,10967,0.09135969077489545,10233,5333,0.5243479123276803,301870,31233,0.10346506774439328,3600,
postgresql_sqleek_wo_m2_r2,SQLeek-W/O-M2,PostgreSQL,2,3200,600,0.1875,4845,2738.47826086957,0.581395348837209,170620,46079.1751965822,0.270069014163534,3600,
postgresql_sqleek_wo_m2_r3,SQLeek-W/O-M2,PostgreSQL,3,3200,600,0.1875,4845,2949.13043478261,0.627906976744186,170620,65288.7467637087,0.382655883036623,3600,
postgresql_sqleek_wo_m2_r4,SQLeek-W/O-M2,PostgreSQL,4,3200,600,0.1875,4845,2949.13043478261,0.627906976744186,170620,63428.7853988153,0.371754691119536,3600,
postgresql_sqleek_wo_m2_r5,SQLeek-W/O-M2,PostgreSQL,5,3200,700,0.21875,4845,3159.78260869565,0.674418604651163,170620,69725.3016664396,0.408658431991792,3600,
mysql_sqleek_wo_m2_r1,SQLeek-W/O-M2,MySQL,1,4602,2429,0.5278139939156888,1445,908,0.6640726329442282,326944,114765,0.3510234168542625,3600,28800
mysql_sqleek_wo_m2_r2,SQLeek-W/O-M2,MySQL,2,4602,2439,0.529986962190352,1445,907,0.669260700389105,326944,115403,0.35297482137613784,3600,36000
mysql_sqleek_wo_m2_r3,SQLeek-W/O-M2,MySQL,3,4602,2414,0.5245545415036941,1445,894,0.6562905317769131,326944,115629,0.3536660712537927,3600,43200
mysql_sqleek_wo_m2_r4,SQLeek-W/O-M2,MySQL,4,4602,2392,0.519774011299435,1445,904,0.6653696498054474,326944,116715,0.35698774101986885,3600,72000
mysql_sqleek_wo_m2_r5,SQLeek-W/O-M2,MySQL,5,4602,2322,0.5045632333767927,1445,884,0.6355382619974059,326944,114574,0.3504392189488108,3600,72000
postgresql_sqleek_wo_m3_r1,SQLeek-W/O-M3,PostgreSQL,1,3200.0,1200.0,0.375,4845.0,3159.782608695652,0.6521739130434783,170620.0,75030.0,0.4397491501582464,3600,
postgresql_sqleek_wo_m3_r2,SQLeek-W/O-M3,PostgreSQL,2,3200.0,1200.0,0.375,4845.0,3159.782608695652,0.6521739130434783,170620.0,78629.0,0.4608428085804712,3600,
postgresql_sqleek_wo_m3_r3,SQLeek-W/O-M3,PostgreSQL,3,3200.0,1200.0,0.375,4845.0,3159.782608695652,0.6521739130434783,170620.0,77387.0,0.45356347438752787,3600,
postgresql_sqleek_wo_m3_r4,SQLeek-W/O-M3,PostgreSQL,4,3200.0,1200.0,0.375,4845.0,3159.782608695652,0.6521739130434783,170620.0,75826.0,0.44441448833665453,3600,
postgresql_sqleek_wo_m3_r5,SQLeek-W/O-M3,PostgreSQL,5,3200.0,1200.0,0.375,4845.0,2949.1304347826085,0.608695652173913,170620.0,95032.0,0.556980424334779,3600,
mysql_sqleek_r1,SQLeek-W/O-M3,MySQL,1,4602.0,2084.0,0.4528465884398088,1445.0,849.0,0.5875432525951557,326944.0,102355.0,0.3130658461387883,3600,
