tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek-Full,PostgreSQL,0,0.375,0,1200,0,2738.47826086956502,0,0.221943500175829,0,37868,0,3200,4845,170620,0.565217391304348,0,0,0,0
SQLeek-Full,PostgreSQL,60,0.375,0,1200,0,2949.130434782608518,0,0.471310514593834,0,80415,0,3200,4845,170620,0.608695652173913,0,0,0,0
SQLeek-Full,PostgreSQL,180,0.375,0,1200,0,3159.782608695652016,0,0.479275583167272,0,81774,0,3200,4845,170620,0.652173913043478,0,0,0,0
SQLeek-Full,PostgreSQL,300,0.375,0,1200,0,3159.782608695652016,0,0.483372406517407,0,82473,0,3200,4845,170620,0.652173913043478,0,0,0,0
SQLeek-Full,PostgreSQL,480,0.4375,0,1400,0,3370.434782608695514,0,0.486537334427383,0,83013,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,PostgreSQL,600,0.4375,0,1400,0,3370.434782608695514,0,0.487416481069042,0,83163,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,PostgreSQL,720,0.4375,0,1400,0,3370.434782608695514,0,0.48773297386004,0,83217,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,PostgreSQL,900,0.4375,0,1400,0,3370.434782608695514,0,0.488717618098699,0,83385,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,PostgreSQL,1200,0.4375,0,1400,0,3370.434782608695514,0,0.489514711053804,0,83521,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,PostgreSQL,1440,0.4375,0,1400,0,3370.434782608695514,0,0.489842925800023,0,83577,0,3200,4845,170620,0.695652173913043,0,0,0,0
SQLeek-Full,MySQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQLeek-Full,MySQL,60,0.44806605823555,0,2062,0,857,0,0.320810291670745,0,104887,0,4602,1445,326944,0.593079584775086,0,0,0,0
SQLeek-Full,MySQL,180,0.488048674489352,0,2246,0,890,0,0.344129269844377,0,112511,0,4602,1445,326944,0.615916955017301,0,0,0,0
SQLeek-Full,MySQL,300,0.502607561929596,0,2313,0,902,0,0.356678819614368,0,116614,0,4601.999999999999091,1445,326944,0.624221453287197,0,0,0,0
SQLeek-Full,MySQL,480,0.530638852672751,0,2442,0,936,0,0.371204242928453,0,121363,0,4602,1445,326944,0.647750865051903,0,0,0,0
SQLeek-Full,MySQL,600,0.538678835289005,0,2479,0,938,0,0.374666609572281,0,122495,0,4602,1445,326944,0.649134948096886,0,0,0,0
SQLeek-Full,MySQL,720,0.542155584528466,0,2495,0,939,0,0.375391504355486,0,122732,0,4602,1445,326944,0.649826989619377,0,0,0,0
SQLeek-Full,MySQL,900,0.549109083007388,0,2527,0,939,0,0.377703826955075,0,123488,0,4602,1445,326944,0.649826989619377,0,0,0,0
SQLeek-Full,MySQL,1200,0.566927422859626,0,2609,0,947,0,0.382600690026427,0,125089,0,4602,1445,326944,0.655363321799308,0,0,0,0
SQLeek-Full,MySQL,1440,0.575619295958279,0,2649,0,949,0,0.385307575609279,0,125974,0,4602,1445,326944,0.656747404844291,0,0,0,0
SQLeek-Full,MariaDB,0,0.248116760828625,0,1054,0,1011,0,0.171850636584275,0.000057524991351,50698,16.970562748477139,4248,3041,295012,0.332456428806314,0,0,0.000040676311472,0.000079725570485
SQLeek-Full,MariaDB,60,0.455155367231638,0.007490537936298,1933.5,31.81980515339464,1797.5,26.16295090390226,0.31263304543544,0.003909302537237,92230.5,1153.291160115259117,4248,3041,295012,0.591088457744163,0.005296610169492,0.010381355932203,0.00276429433379,0.005418016894228
SQLeek-Full,MariaDB,180,0.48469868173258,0.001664563985844,2059,7.071067811865476,1893,41.012193308819754,0.335189754993017,0.004060305639533,98885,1197.838887330011403,4248,3041,295012,0.622492601118053,0.001177024482109,0.002306967984934,0.002871069651404,0.005627296516752
SQLeek-Full,MariaDB,300,0.503295668549906,0.001997476783013,2138,8.48528137423857,1968,9.899494936611665,0.345255447236045,0.004441408707235,101854.5,1310.268865538672571,4248,3041,295012,0.64715554094048,0.001412429378531,0.002768361581921,0.003140550214907,0.006155478421217
SQLeek-Full,MariaDB,480,0.515772128060264,0.000332912797169,2191,1.414213562373095,2012.5,17.677669529663689,0.354809295893048,0.001227199815491,104673,362.038671967512357,4248,3040.999999999999545,295012,0.66178888523512,0.000235404896422,0.000461393596987,0.000867761311404,0.001700812170352
SQLeek-Full,MariaDB,600,0.522363465160075,0.004660779160363,2219,19.798989873223331,2028.5,24.748737341529164,0.357819342941982,0.001380599792427,105561,407.293505963451366,4248,3041,295012,0.667050312397238,0.003295668549906,0.006459510357816,0.00097623147533,0.001913413691646
SQLeek-Full,MariaDB,720,0.527660075329567,0.004827235558948,2241.5,20.506096654409877,2046.5,16.263455967290593,0.361825959621981,0.000800556129636,106743,236.173664916306876,4248,3041.000000000000455,295012,0.67296941795462,0.003413370998117,0.006690207156309,0.000566078667986,0.001109514189253
SQLeek-Full,MariaDB,900,0.532485875706215,0.00832281992922,2262,35.355339059327378,2064,28.284271247461902,0.36761894431413,0.003293305754852,108452,971.5647173503163,4248,3041,295012,0.678724103913186,0.005885122410546,0.01153483992467,0.002328718831776,0.004564288910282
SQLeek-Full,MariaDB,1200,0.546845574387947,0.000665825594338,2323,2.82842712474619,2095,4.242640687119285,0.376884669098206,0.00252390899553,111185.5,744.583440589434531,4248,3041,295012,0.68891811903979,0.000470809792844,0.000922787193974,0.001784673165837,0.003497959405041
SQLeek-Full,MariaDB,1440,0.5484934086629,0.000665825594338,2330,2.82842712474619,2098,5.656854249492381,0.379360839559069,0.003571343213049,111916,1053.589103967955907,4248,3041,295012,0.689904636632687,0.000470809792844,0.000922787193974,0.002525321003891,0.004949629167627
