tool,dbms,target_region_branches_hit_mean,target_region_branches_total,target_region_branch_coverage_mean,target_regions_hit_mean,target_regions_total,target_region_hit_coverage_mean,global_branches_hit_mean,global_branches_total,global_branch_coverage_mean,status,source_package,note
SQLeek-Full,PostgreSQL,1400.0,3200.0,0.4375,3370.4347826086955,4845.0,0.6956521739130435,83577.0,170620.0,0.4898429258000234,available,/root/SQLeek/experiment/RQ4/result/data,current Full row in RQ4 table
SQLeek-Full,MySQL,2649.0,4602.0,0.575619295958279,949.0,1445.0,0.6567474048442906,125974.0,326944.0,0.3853075756092786,available,/root/SQLeek/experiment/RQ4/result/data,current Full row in RQ4 table
SQLeek-Full,MariaDB,2330.0,4248.0,0.5484934086629002,2098.0,3041.0,0.6899046366326866,111916.0,295012.0,0.3793608395590688,available,/root/SQLeek/experiment/RQ4/result/data,current Full row in RQ4 table
SQLeek-Full,MonetDB,36851.2,120042,0.306985888272438,8596.8,10233,0.840105540897098,96755.8,301870,0.320521416503793,available,/root/SQLeek/experiment/RQ3/result/data,formal SQLeek Full MonetDB replay reused from RQ3; no RQ4 rerun
SQLeek-W/O-M1,PostgreSQL,650,3200,0.203125,2791.141304347826008,4845,0.576086956521739,50806.178110246313736,170620,0.297773872407961,available_n4_partial,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_postgres_coverage_replay_20260803_081154/data,"formal PostgreSQL W/O-M1 replay; valid repeats r1,r2,r4,r5 (n=4); r3 excluded after early inode-exhaustion failure; 60-1440 min checkpoints; final table value at 1440 min; coverage ratios preserved; branch totals use the RQ3 reference denominator map 3200/4845/170620"
SQLeek-W/O-M1,MySQL,2102.819359756097583,4602,0.456935975609756,871.600000000000023,1445,0.60318339100346,104293.532100232056109,326944,0.318995094267618,available,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/data,formal MySQL W/O-M1 replay; 5 repeats; 60-1440 min checkpoints; coverage ratios preserved; branch totals use the RQ3 reference denominator map 4602/326944
SQLeek-W/O-M1,MariaDB,2159.800000000000182,4248,0.508427495291902,1962.400000000000091,3041,0.645314041433739,99567.399999999994179,295012,0.337502881238729,available,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mariadb_coverage_replay_20260801_172000/data,formal MariaDB W/O-M1 replay; 5 repeats; 0-1440 min checkpoints; RQ3 reference denominator map
SQLeek-W/O-M1,MonetDB,10747.200000000000728,120042,0.089528664967261,5245.399999999999636,10233,0.512596501514707,30585.400000000001455,301870,0.101319773412396,available,/root/SQLeek/experiment/RQ4/.monetdb_fuzz_tmp_20260803/formal_5x24/replay_timeseries_parallel_20260805_20260805_114900/data_parallel,formal MonetDB W/O-M1 LLVM replay; 5 repeats; 60-1440 min checkpoints; RQ3 reference denominator map
SQLeek-W/O-M2,PostgreSQL,625,3200,0.1953125,2949.13043478261,4845,0.608695652173913,61130.5022563864,170620,0.358284505077871,available_n4_partial,/root/SQLeek/experiment/RQ4/live/rq4_wo_m2_campaign_20260728_085746,formal PostgreSQL W/O-M2 LLVM replay; valid repeats r2+r3+r4+r5 (n=4); final checkpoint 1440 min; branch totals use the RQ3 reference denominator map 3200/4845/170620
SQLeek-W/O-M2,MySQL,2399.2,4602,0.5213385484571925,899.4,1445,0.6224221453287198,115417.2,326944,0.35301825389057456,available,/root/SQLeek/experiment/RQ4/replay/output/rq4_wo_m2_mysql_bucketed_seq_replay_legacy845d52_20260731_060729/real,formal old-coverage-image replay; 5 repeats; risk denominator 4602
SQLeek-W/O-M2,MariaDB,2150.0,4248.0,0.506120527306968,1964.5,3041.0,0.6602474729871035,103053.5,295012.0,0.3493196886906295,available,/root/SQLeek/experiment/RQ4/result/wo_m2_replay_only_20260730_072723/data,current replay-backed W/O-M2 package
SQLeek-W/O-M2,MonetDB,24671.0,120042.0,0.2055197347595008,8201.0,10233.0,0.8041257562233463,71098.0,301870.0,0.2355252260907012,available,/root/SQLeek/experiment/RQ4/result/wo_m2_replay_only_20260730_072723/data,current replay-backed W/O-M2 package
SQLeek-W/O-M3,PostgreSQL,1200.0,3200.0,0.375,3117.652173913043,4845.0,0.6434782608695652,80380.8,170620.0,0.4711100691595358,available,/root/SQLeek/experiment/RQ4/result/data,existing legacy ablation label in current RQ4 table
SQLeek-W/O-M3,MySQL,2095.0,4602.0,0.4552368535419382,856.25,1445.0,0.592560553633218,102123.0,326944.0,0.31235624449447,available,/root/SQLeek/experiment/RQ4/result/data,existing legacy ablation label in current RQ4 table
SQLeek-W/O-M3,MariaDB,2072.333333333333,4248.0,0.4878374136848713,2049.333333333333,3041.0,0.6739011290145785,89503.0,295012.0,0.3033876588070994,available,/root/SQLeek/experiment/RQ4/result/data,existing legacy ablation label in current RQ4 table
SQLeek-W/O-M3,MonetDB,27790.0,120042.0,0.2315023075256993,8495.0,10233.0,0.8319944460973917,80496.0,301870.0,0.2666578328419518,available,/root/SQLeek/experiment/RQ4/result/data,existing legacy ablation label in current RQ4 table
