tool,dbms,target_region_branches_hit_mean,target_region_branches_total,target_region_branch_coverage_mean,target_regions_hit_mean,target_regions_total,target_region_hit_coverage_mean,global_branches_hit_mean,global_branches_total,global_branch_coverage_mean
SQLeek-Full,PostgreSQL,1400.0,3200.0,0.4375,3370.4347826086955,4845.0,0.6956521739130435,83577.0,170620.0,0.4898429258000234
SQLeek-Full,MySQL,2649.0,4602.0,0.575619295958279,949.0,1445.0,0.6567474048442906,125974.0,326944.0,0.38530757560927864
SQLeek-Full,MariaDB,2330.0,4248.0,0.5484934086629002,2098.0,3041.0,0.6899046366326866,111916.0,295012.0,0.3793608395590688
SQLeek-Full,MonetDB,36851.2,120042,0.306985888272438,8596.8,10233,0.840105540897098,96755.8,301870,0.320521416503793
SQLeek-W/O-M1,PostgreSQL,650,3200,0.203125,2791.141304347826008,4845,0.576086956521739,50806.178110246313736,170620,0.297773872407961
SQLeek-W/O-M1,MySQL,2102.819359756097583,4602,0.456935975609756,871.600000000000023,1445,0.60318339100346,104293.532100232056109,326944,0.318995094267618
SQLeek-W/O-M1,MariaDB,2159.800000000000182,4248,0.508427495291902,1962.400000000000091,3041,0.645314041433739,99567.399999999994179,295012,0.337502881238729
SQLeek-W/O-M1,MonetDB,10747.200000000000728,120042,0.089528664967261,5245.399999999999636,10233,0.512596501514707,30585.400000000001455,301870,0.101319773412396
SQLeek-W/O-M2,PostgreSQL,625,3200,0.1953125,2949.13043478261,4845,0.608695652173913,61130.5022563864,170620,0.358284505077871
SQLeek-W/O-M2,MySQL,2399.2,4602,0.5213385484571925,899.4,1445,0.6224221453287198,115417.2,326944,0.35301825389057456
SQLeek-W/O-M3,PostgreSQL,1200.0,3200.0,0.375,3117.652173913043,4845.0,0.6434782608695652,80380.8,170620.0,0.47111006915953585
SQLeek-W/O-M3,MySQL,2095.0,4602.0,0.45523685354193827,856.25,1445.0,0.592560553633218,102123.0,326944.0,0.31235624449447
SQLeek-W/O-M3,MariaDB,2072.3333333333335,4248.0,0.4878374136848713,2049.3333333333335,3041.0,0.6739011290145785,89503.0,295012.0,0.3033876588070994
SQLeek-W/O-M3,MonetDB,27790,120042,0.23150230752569934,8495,10233,0.8319944460973917,80496,301870,0.2666578328419518
