run_id,tool,dbms,version,repeat_id,start_time,end_time,budget_hours,seed_corpus,build_id,container_id,status,unsupported_reason
postgresql_sqleek_full_r1,SQLeek-Full,PostgreSQL,"PostgreSQL LLVM 24h replay (SQLeek full, Stage3 r1)",1,2026-07-17T04:43:20Z,2026-07-17T05:15:24Z,24,/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/postgres/r1/queue_24h_20260717_044306/replay_queue_time_named,griffin_postgres_llvmcov,sqleek_stage3_postgresql_pg2x24h_staged500_copyfix0007_20260716_021147_r1,completed,
mysql_sqleek_full_r1,SQLeek-Full,MySQL,MySQL 9.6.0 SQLeek Stage3 SQLRight/AFL++ LLVM replay,1,2026-07-15T02:00:33.571984Z,2026-07-16T02:02:16.156896Z,24,/root/SQLeek/sqleek_pipeline/stage3_scheduler/runtime/seed_snapshots/mysql_20260714_062649/corpus,sqleek-mysql:20260715-resetfix0006; griffin_mysql_clean_llvmcov replay,sqleek_stage3_mysql_mysql2x24h_resetfix0006_20260715_020032_r1,completed,
mariadb_sqleek_full_r1,SQLeek-Full,MariaDB,MariaDB SQLeek-Full Stage3 24h LLVM replay,1,,,24,/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/mariadb/replay_24h_20260717_064348/profdata/r1,griffin_mariadb_llvmcov:latest; Stage3 MariaDB SQLeek-Full replay,sqleek_stage3_mariadb_mariadb2x24h_staged500_20260716_062440_r1,completed,
mariadb_sqleek_full_r2,SQLeek-Full,MariaDB,MariaDB SQLeek-Full Stage3 24h LLVM replay,2,,,24,/root/SQLeek/sqleek_pipeline/stage3_scheduler/checkpoints/mariadb/replay_24h_20260717_064348/profdata/r2,griffin_mariadb_llvmcov:latest; Stage3 MariaDB SQLeek-Full replay,sqleek_stage3_mariadb_mariadb2x24h_staged500_20260716_062440_r2,completed,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,MonetDB llvmcov,1,,,24,/root/SQLeek/experiment/RQ2/replay/output/sqleek_monetdb_bucketed_replay_20260704_052828_restart100/bucketed_sqleek_monetdb_20260704_052828/r1,griffin_monetdb_llvmcov,,completed,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,MonetDB llvmcov,2,,,24,/root/SQLeek/experiment/RQ2/replay/output/sqleek_monetdb_bucketed_replay_20260704_052828_restart100/bucketed_sqleek_monetdb_20260704_052828/r2,griffin_monetdb_llvmcov,,completed,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,MonetDB llvmcov,3,,,24,/root/SQLeek/experiment/RQ2/replay/output/sqleek_monetdb_bucketed_replay_20260704_052828_restart100/bucketed_sqleek_monetdb_20260704_052828/r3,griffin_monetdb_llvmcov,,completed,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,MonetDB llvmcov,4,,,24,/root/SQLeek/experiment/RQ2/replay/output/sqleek_monetdb_bucketed_replay_20260704_052828_restart100/bucketed_sqleek_monetdb_20260704_052828/r4,griffin_monetdb_llvmcov,,completed,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,MonetDB llvmcov,5,,,24,/root/SQLeek/experiment/RQ2/replay/output/sqleek_monetdb_bucketed_replay_20260704_052828_restart100/bucketed_sqleek_monetdb_20260704_052828/r5,griffin_monetdb_llvmcov,,completed,
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,,1,2026-08-03T08:11:55Z,2026-08-03T08:29:58Z,24,,rq4_wo_m1_formal_5x24,,completed,
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,,2,2026-08-03T08:11:56Z,2026-08-03T08:37:05Z,24,,rq4_wo_m1_formal_5x24,,completed,
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,,4,2026-08-03T08:37:06Z,2026-08-03T08:56:44Z,24,,rq4_wo_m1_formal_5x24,,completed,
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,,5,2026-08-03T08:37:06Z,2026-08-03T08:49:55Z,24,,rq4_wo_m1_formal_5x24,,completed,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,MySQL clean llvmcov,1,,,24,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/bucketed/r1,griffin_mysql_clean_llvmcov,,completed,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,MySQL clean llvmcov,2,,,24,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/bucketed/r2,griffin_mysql_clean_llvmcov,,completed,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,MySQL clean llvmcov,3,,,24,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/bucketed/r3,griffin_mysql_clean_llvmcov,,completed,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,MySQL clean llvmcov,4,,,24,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/bucketed/r4,griffin_mysql_clean_llvmcov,,completed,
mysql_sqleek_wo_m1_r5,SQLeek-W/O-M1,MySQL,MySQL clean llvmcov,5,,,24,/root/SQLeek/experiment/RQ4/live/rq4_wo_m1_mysql_coverage_replay_20260802_053659/bucketed/r5,griffin_mysql_clean_llvmcov,,completed,
