region_id,dbms,rule_family,component,file,source_path,anchor_file,anchor_line,start_line,end_line,function,span_source
monetdb_target_000001,monetdb,stale,other,algebra.c,monetdb5/modules/kernel/algebra.c,algebra.c,1154,1149,1159,,window
monetdb_target_000002,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,1001,996,1006,,window
monetdb_target_000003,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,1977,1972,1982,,window
monetdb_target_000004,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,2067,2062,2072,,window
monetdb_target_000005,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,2628,2623,2633,,window
monetdb_target_000006,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,5039,5034,5044,,window
monetdb_target_000007,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,864,859,869,,window
monetdb_target_000008,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,928,923,933,,window
monetdb_target_000009,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,959,954,964,,window
monetdb_target_000010,monetdb,stale,storage,bat_storage.c,sql/storage/bat/bat_storage.c,bat_storage.c,985,980,990,,window
monetdb_target_000011,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,1957,1952,1962,,window
monetdb_target_000012,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,1971,1966,1976,,window
monetdb_target_000013,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,1985,1980,1990,,window
monetdb_target_000014,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2077,2072,2082,,window
monetdb_target_000015,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2092,2087,2097,,window
monetdb_target_000016,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2107,2102,2112,,window
monetdb_target_000017,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2200,2195,2205,,window
monetdb_target_000018,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2216,2211,2221,,window
monetdb_target_000019,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2231,2226,2236,,window
monetdb_target_000020,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2333,2328,2338,,window
monetdb_target_000021,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2352,2347,2357,,window
monetdb_target_000022,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2450,2445,2455,,window
monetdb_target_000023,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2469,2464,2474,,window
monetdb_target_000024,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2567,2562,2572,,window
monetdb_target_000025,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,2587,2582,2592,,window
monetdb_target_000026,monetdb,stale,other,batstr.c,monetdb5/modules/kernel/batstr.c,batstr.c,5814,5809,5819,,window
monetdb_target_000027,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1514,1509,1519,,window
monetdb_target_000028,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1524,1519,1529,,window
monetdb_target_000029,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1534,1529,1539,,window
monetdb_target_000030,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1544,1539,1549,,window
monetdb_target_000031,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1554,1549,1559,,window
monetdb_target_000032,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1564,1559,1569,,window
monetdb_target_000033,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1574,1569,1579,,window
monetdb_target_000034,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1585,1580,1590,,window
monetdb_target_000035,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1598,1593,1603,,window
monetdb_target_000036,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1608,1603,1613,,window
monetdb_target_000037,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1621,1616,1626,,window
monetdb_target_000038,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1632,1627,1637,,window
monetdb_target_000039,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1642,1637,1647,,window
monetdb_target_000040,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1654,1649,1659,,window
monetdb_target_000041,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1665,1660,1670,,window
monetdb_target_000042,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1679,1674,1684,,window
monetdb_target_000043,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1690,1685,1695,,window
monetdb_target_000044,monetdb,stale,other,batxml.c,monetdb5/modules/atoms/batxml.c,batxml.c,1701,1696,1706,,window
monetdb_target_000045,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,118,113,123,,window
monetdb_target_000046,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,167,162,172,,window
monetdb_target_000047,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,188,183,193,,window
monetdb_target_000048,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,228,223,233,,window
monetdb_target_000049,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,307,302,312,,window
monetdb_target_000050,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,321,316,326,,window
monetdb_target_000051,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,341,336,346,,window
monetdb_target_000052,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,348,343,353,,window
monetdb_target_000053,monetdb,stale,other,bs.c,common/stream/bs.c,bs.c,50,45,55,,window
monetdb_target_000054,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,104,99,109,,window
monetdb_target_000055,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,113,108,118,,window
monetdb_target_000056,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,136,131,141,,window
monetdb_target_000057,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,32,27,37,,window
monetdb_target_000058,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,41,36,46,,window
monetdb_target_000059,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,55,50,60,,window
monetdb_target_000060,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,67,62,72,,window
monetdb_target_000061,monetdb,stale,other,coverity_model.c,buildtools/coverity_model.c,coverity_model.c,87,82,92,,window
monetdb_target_000062,monetdb,stale,catalog_metadata,dict.c,sql/backends/monet5/dict.c,dict.c,28,23,33,,window
monetdb_target_000063,monetdb,stale,catalog_metadata,dict.c,sql/backends/monet5/dict.c,dict.c,55,50,60,,window
monetdb_target_000064,monetdb,stale,catalog_metadata,dict.c,sql/backends/monet5/dict.c,dict.c,83,78,88,,window
monetdb_target_000065,monetdb,stale,other,fwf.c,common/stream/fwf.c,fwf.c,115,110,120,,window
monetdb_target_000066,monetdb,stale,other,fwf.c,common/stream/fwf.c,fwf.c,131,126,136,,window
monetdb_target_000067,monetdb,stale,other,fwf.c,common/stream/fwf.c,fwf.c,138,133,143,,window
monetdb_target_000068,monetdb,stale,other,fwf.c,common/stream/fwf.c,fwf.c,37,32,42,,window
monetdb_target_000069,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1050,1045,1055,,window
monetdb_target_000070,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1057,1052,1062,,window
monetdb_target_000071,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1064,1059,1069,,window
monetdb_target_000072,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1074,1069,1079,,window
monetdb_target_000073,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1176,1171,1181,,window
monetdb_target_000074,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,1475,1470,1480,,window
monetdb_target_000075,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,874,869,879,,window
monetdb_target_000076,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,977,972,982,,window
monetdb_target_000077,monetdb,stale,other,gdk.h,gdk/gdk.h,gdk.h,988,983,993,,window
monetdb_target_000078,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,1012,1007,1017,,window
monetdb_target_000079,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,1573,1568,1578,,window
monetdb_target_000080,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,1648,1643,1653,,window
monetdb_target_000081,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,1797,1792,1802,,window
monetdb_target_000082,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,2000,1995,2005,,window
monetdb_target_000083,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,2650,2645,2655,,window
monetdb_target_000084,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3017,3012,3022,,window
monetdb_target_000085,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3107,3102,3112,,window
monetdb_target_000086,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3527,3522,3532,,window
monetdb_target_000087,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3601,3596,3606,,window
monetdb_target_000088,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3610,3605,3615,,window
monetdb_target_000089,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3754,3749,3759,,window
monetdb_target_000090,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3760,3755,3765,,window
monetdb_target_000091,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3767,3762,3772,,window
monetdb_target_000092,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,3884,3879,3889,,window
monetdb_target_000093,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,4272,4267,4277,,window
monetdb_target_000094,monetdb,stale,other,gdk_aggr.c,gdk/gdk_aggr.c,gdk_aggr.c,4280,4275,4285,,window
