model_key,model_label,dbms,n_runs,total_tokens,total_cost_usd,mean_tokens,median_tokens,mean_bug_count,median_bug_count,min_bug_count,max_bug_count,bug_count_range,bug_count_cv,bugs_per_10k_tokens,tokens_per_bug,pearson_tokens_vs_bugs,spearman_tokens_vs_bugs,correlation_note
deepseek_v4_flash,DeepSeek V4 Flash,postgres,,,,,,,,,,,,,,,,
deepseek_v4_flash,DeepSeek V4 Flash,mysql,,,,,,,,,,,,,,,,
deepseek_v4_flash,DeepSeek V4 Flash,mariadb,,,,,,,,,,,,,,,,
deepseek_v4_flash,DeepSeek V4 Flash,monetdb,,,,,,,,,,,,,,,,
deepseek_v4_flash,DeepSeek V4 Flash,ALL,,,,,,,,,,,,,,,,
gpt_5_5_medium,GPT-5.5 (medium),postgres,,,,,,,,,,,,,,,,
gpt_5_5_medium,GPT-5.5 (medium),mysql,,,,,,,,,,,,,,,,
gpt_5_5_medium,GPT-5.5 (medium),mariadb,,,,,,,,,,,,,,,,
gpt_5_5_medium,GPT-5.5 (medium),monetdb,,,,,,,,,,,,,,,,
gpt_5_5_medium,GPT-5.5 (medium),ALL,,,,,,,,,,,,,,,,
qwen_27b,Qwen 27B,postgres,,,,,,,,,,,,,,,,
qwen_27b,Qwen 27B,mysql,,,,,,,,,,,,,,,,
qwen_27b,Qwen 27B,mariadb,,,,,,,,,,,,,,,,
qwen_27b,Qwen 27B,monetdb,,,,,,,,,,,,,,,,
qwen_27b,Qwen 27B,ALL,,,,,,,,,,,,,,,,
